"iD_ESTADO","ID_DISTRITO_FEDERAL","LISTA_NOMINAL","PAN","PRI","PRD","PVEM","PT","MC","PANAL","MORENA","PES","PAN_PRD_MC","PAN_PRD","PAN_MC","PRD_MC","PRI_PVEM_PANAL","PRI_PVEM","PRI_PANAL","PVEM_PANAL","PT_MORENA_PES","PT_MORENA","PT_PES","MORENA_PES","CNR","NULOS","RAC","JAMK","AMLO","JHRC","NO_PART_CIUD"
1,1,626,0.10702875399361,0.137380191693291,0.00638977635782748,0.00159744408945687,0.0159744408945687,0.00798722044728434,0.0175718849840256,0.293929712460064,0.00958466453674121,0,0,0,0,0,0,0.00319488817891374,0,0.00319488817891374,0.00479233226837061,0,0,0.00479233226837061,0.0223642172523962,0.121405750798722,0.159744408945687,0.327476038338658,0.0159744408945687,0.348242811501597
1,1,650,0.113846153846154,0.103076923076923,0.00769230769230769,0.00923076923076923,0.0338461538461538,0.00307692307692308,0.0107692307692308,0.14,0.0123076923076923,0.00153846153846154,0,0,0,0.00153846153846154,0,0.00307692307692308,0,0.00615384615384615,0.00153846153846154,0,0.00153846153846154,0,0.0246153846153846,0.126153846153846,0.127692307692308,0.195384615384615,0.0338461538461538,0.492307692307692
1,1,681,0.185022026431718,0.0778267254038179,0.00587371512481645,0.00293685756240822,0.0220264317180617,0.00293685756240822,0,0.13215859030837,0.0102790014684288,0,0.00146842878120411,0,0,0,0.00146842878120411,0,0,0.00587371512481645,0,0,0,0.00146842878120411,0.0146842878120411,0.195301027900147,0.0822320117474303,0.170337738619677,0.0381791483113069,0.497797356828194
1,1,638,0.142633228840125,0.144200626959248,0.0141065830721003,0.0109717868338558,0.0407523510971787,0.00783699059561128,0.00470219435736677,0.115987460815047,0.00626959247648903,0,0,0,0,0,0.00156739811912226,0,0,0,0.00156739811912226,0.00156739811912226,0.00156739811912226,0.00156739811912226,0.0219435736677116,0.164576802507837,0.161442006269592,0.167711598746081,0.0219435736677116,0.460815047021944
1,1,637,0.150706436420722,0.119309262166405,0.0125588697017268,0.00470957613814757,0.0188383045525903,0.00313971742543171,0.00470957613814757,0.152276295133438,0.00784929356357928,0.00156985871271586,0.00156985871271586,0,0,0.00156985871271586,0.00313971742543171,0,0,0.00156985871271586,0,0,0,0,0.0141287284144427,0.169544740973312,0.133437990580848,0.180533751962323,0.021978021978022,0.480376766091052
1,1,681,0.204111600587372,0.0822320117474303,0.00293685756240822,0.0117474302496329,0.0234948604992658,0.00146842878120411,0.00587371512481645,0.146842878120411,0.00440528634361234,0,0.00146842878120411,0,0,0,0,0.00146842878120411,0,0.00293685756240822,0,0.00146842878120411,0.00146842878120411,0,0.0117474302496329,0.209985315712188,0.101321585903084,0.180616740088106,0.0249632892804699,0.47136563876652
1,1,506,0.134387351778656,0.0849802371541502,0.00988142292490119,0.00197628458498024,0.0296442687747036,0.00197628458498024,0.00988142292490119,0.146245059288538,0.00988142292490119,0.00592885375494071,0.00395256916996047,0,0,0,0,0,0,0.00395256916996047,0.00197628458498024,0,0,0.00197628458498024,0.0177865612648221,0.156126482213439,0.0968379446640316,0.191699604743083,0.0355731225296443,0.5
1,1,749,0.142857142857143,0.0801068090787717,0.00534045393858478,0.00801068090787717,0.0307076101468625,0.00400534045393859,0.00534045393858478,0.198931909212283,0.00934579439252336,0.00133511348464619,0,0.00267022696929239,0,0,0,0,0,0.0160213618157543,0.00133511348464619,0,0,0,0.0120160213618158,0.156208277703605,0.0934579439252336,0.256341789052069,0.0106809078771696,0.471295060080107
1,1,749,0.146862483311081,0.129506008010681,0.00534045393858478,0.00667556742323097,0.0173564753004005,0.00267022696929239,0.00400534045393859,0.137516688918558,0.0106809078771696,0.00133511348464619,0,0,0,0,0,0,0,0.00667556742323097,0,0,0,0,0.0133511348464619,0.156208277703605,0.14018691588785,0.172229639519359,0.0373831775700935,0.48064085447263
1,1,722,0.160664819944598,0.113573407202216,0.00969529085872576,0.00831024930747922,0.0332409972299169,0,0.00277008310249307,0.130193905817175,0.00692520775623269,0,0,0,0,0.00415512465373961,0.00138504155124654,0,0,0.00415512465373961,0.00138504155124654,0.00138504155124654,0.00277008310249307,0,0.00831024930747922,0.170360110803324,0.130193905817175,0.18005540166205,0.0318559556786704,0.479224376731302
