,player,positions
0,Alexis Flips,"['MI', 'MCO', 'MD']"
1,Jakub Kamiński,"['EI', 'DFI']"
2,Alan Velasco,"['MI', 'EI', 'MCO']"
3,Benjamín Rollheiser,"['MD', 'DC']"
4,Thijs Dallinga,['DC']
5,Israel Reyes,"['DFC', 'MCD']"
6,Milan van Ewijk,"['LD', 'DFD']"
7,Rayan Cherki,"['MCO', 'EI', 'ED']"
8,Shon Weissman,['DC']
9,Lukáš Kalvach,"['MCD', 'MC']"
10,Iago,"['DFI', 'MI']"
11,Josip Stanišić,"['DFD', 'DFC']"
12,Sergio Camello,['DC']
13,Junior Dina Ebimbe,"['MD', 'MC', 'LD']"
14,Zakaria Aboukhlal,"['ED', 'EI']"
15,Tomáš Čvančara,"['DC', 'ED']"
16,Enzo Díaz,"['DFI', 'DFC']"
17,Sekou Koita,"['DC', 'MCO']"
18,Bafodé Diakité,"['DFD', 'DFI', 'DFC']"
19,Hugo Guillamón,['MCD']
20,Mykhailo Mudryk,"['EI', 'MI']"
21,Iván Jaime,"['MI', 'MCO', 'DC']"
22,Pedro De la Vega,"['MD', 'MI']"
23,Paulo Vítor,['PO']
24,Adama Traoré,"['ED', 'MCO']"
25,Marash Kumbulla,['DFC']
26,Javi Sánchez,['DFC']
27,Luis Javier Suárez,"['DC', 'MI']"
28,Eric García,"['DFC', 'MCD']"
29,Patrik Hrošovský,"['MCD', 'MC']"
30,Vinícius,['DC']
31,Ondřej Kolář,['PO']
32,Marius Bülter,"['MI', 'DC']"
33,Georgiy Bushchan,['PO']
34,Vitaliy Mykolenko,"['DFI', 'LI']"
35,Uroš Račić,"['MC', 'MCD']"
36,Jaka Bijol,"['DFC', 'MCD']"
37,Deniz Undav,"['DC', 'MCO']"
38,Daniel-Kofi Kyereh,"['MCO', 'DC']"
39,Nemanja Radonjić,"['MP', 'EI', 'ED']"
40,Enzo Loiodice,"['MC', 'MCD']"
41,Luis Romo,"['MC', 'MCD']"
42,Anthony Gordon,"['EI', 'ED', 'MI']"
43,Keito Nakamura,['MI']
44,Maarten Vandevoordt,['PO']
45,Jordan Beyer,['DFC']
46,Illan Meslier,['PO']
