,player,positions
0,James Milner,"['MC', 'DFD']"
1,Pepe Reina,['PO']
2,João Gomes,"['MCD', 'MC']"
3,Danilo,"['MCD', 'MC']"
4,Federico Gatti,['DFC']
5,Bradley Barcola,"['ED', 'DC', 'MD']"
6,Soufiane Rahimi,['MI']
7,Vitinha,['DC']
8,Nicola Zalewski,"['MD', 'MI']"
9,Alan Varela,"['MCD', 'MC']"
10,Ignacio De Arruabarrena,['PO']
11,Rasmus Højlund,['DC']
12,Malo Gusto,['DFD']
13,Malcom Braida,"['LI', 'EI', 'ED']"
14,Ivan Ilić,"['MC', 'MP']"
15,Nicolas Seiwald,"['MC', 'MCD']"
16,Jan Kuchta,['DC']
17,Álex Baena,"['MC', 'MD', 'DC']"
18,Amadou Onana,"['MCD', 'MC']"
19,Warmed Omari,['DFC']
20,Adrien Truffert,['DFI']
21,Azzedine Ounahi,['MC']
22,Nico González,"['MCD', 'MC']"
23,Oscar Dorley,"['MC', 'DFI', 'MI']"
24,Alexander Alvarado,"['MI', 'EI']"
25,Samuele Ricci,"['MCD', 'MC']"
26,Arnaud Kalimuendo,['DC']
27,Attila Szalai,['DFC']
28,Hicham Boudaoui,"['MC', 'MD', 'MCD']"
29,Luka Ivanušec,"['MCO', 'EI', 'MC']"
30,Wilfried Singo,"['LD', 'MD', 'DFD']"
31,Ramiz Zerrouki,"['MC', 'MCD']"
32,Tiago Djaló,['DFC']
33,Tommaso Pobega,['MC']
34,Brian Brobbey,['DC']
35,Sergiño Dest,"['DFD', 'MD', 'DFI']"
36,David Carmo,['DFC']
37,Nuno Tavares,"['DFI', 'MI']"
38,Zaidu Sanusi,['DFI']
39,Charles De Ketelaere,"['MCO', 'DC']"
40,Brennan Johnson,"['ED', 'DC']"
41,Aaron Hickey,"['DFD', 'LD', 'DFI']"
42,Mats Wieffer,"['MCD', 'MC']"
43,Nathan Collins,"['DFC', 'DFD']"
44,Tetê,"['MD', 'ED']"
45,Tuta,['DFC']
46,Petr Ševčík,"['MC', 'MD', 'MCD']"
47,Alex Král,"['MCD', 'MC']"
48,Odilon Kossounou,"['DFC', 'LD']"
49,Álvaro Valles,['PO']
50,Riccardo Sottil,"['EI', 'ED']"
51,Lucas Beltrán,['DC']
52,Adrià Pedrosa,['DFI']
53,Iddrisu Baba,"['MC', 'MCD']"
54,Max Kilman,['DFC']
55,Leandro Barreiro Martins,"['MC', 'MCD']"
56,Jordan Teze,"['DFD', 'DFC']"
57,Aníbal Moreno,"['MCD', 'MC']"
58,Mohammed Salisu,['DFC']
59,Puado,"['MI', 'MD', 'DC']"
60,Vitaliy Buyalskyi,"['MC', 'MCO']"
61,Nehuén Pérez,['DFC']
62,Maxence Lacroix,['DFC']
63,Chiquinho,"['MC', 'MCO']"
64,Altay Bayındır,['PO']
65,Óscar Valentín,['MCD']
