,player,positions
0,Charlie Lakin,"['MC', 'MCD']"
1,Mohammed Al Majhad,"['MCD', 'MC', 'DFD']"
2,Iván Contreras,"['DFD', 'DFC']"
3,Nebiyou Perry,"['MI', 'DC', 'MCO']"
4,Arthur Gnahoua,"['MI', 'DC']"
5,Dario Ulrich,"['MD', 'DFD']"
6,Song Long,['DFI']
7,Issam El Maach,['PO']
8,Jonathan Svedberg,['MC']
9,Innes Cameron,['DC']
10,Tarek Chahed,"['DC', 'DFC']"
11,Rekeem Harper,"['MC', 'MCD']"
12,Tom Lebeau,"['MC', 'MCO']"
13,Kang Ji Hoon,"['LD', 'ED']"
14,Taylor Luvambo,"['DFD', 'MD']"
15,Abdulaziz Majrashi,"['MCD', 'MC', 'DFD']"
16,Anthony Hartigan,"['MCD', 'MC']"
17,Christian Theoharous,"['MI', 'MD']"
18,Archie Davies,['DFD']
19,Wang Wei,"['DFD', 'DFI']"
20,Dane Ingham,"['DFD', 'DFI']"
21,Roman Macek,"['MC', 'MD']"
22,Branco Provoste,"['MCO', 'MC']"
23,Khaled Al Samiri,"['MC', 'MCD']"
24,Ryan Loft,['DC']
25,Shilow Tracey,"['MD', 'MI']"
26,Nikola Mileusnić,"['DC', 'MD', 'MI']"
27,Harry Smith,['DC']
28,Danny Amos,"['DFI', 'LI']"
29,Ernest Agyiri,['MC']
30,Leonardo Marson,['PO']
31,Ben Doherty,['DFI']
32,Martin Ove Roseth,['DFC']
33,Maximilian Entrup,['DC']
34,Lorenzo Carissoni,['DFD']
35,Artur Siemaszko,"['MD', 'MI', 'DC']"
36,Jan Bekkema,['PO']
37,Aden Baldwin,['DFC']
38,Łukasz Sołowiej,['DFC']
39,Harvey St Clair,"['EI', 'MCO', 'MC']"
40,Song Ju Hun,['DFC']
41,Oliver Kjærgaard,"['MC', 'MCO']"
42,Chinglensana Singh,['DFC']
43,Bradley Mazikou,['DFI']
44,Benjamin Hvidt,"['MC', 'MCD']"
45,Tong Lei,['DFD']
46,Connor O'Toole,['DFI']
47,Linus Obexer,['DFI']
48,Jeppe Arctander Moe,"['LI', 'DFC']"
49,Diego Pineda,['DC']
50,Cihan Kahraman,"['MCO', 'MC']"
51,Robin Tranberg,"['MC', 'MD']"
52,Xu Xin,"['MC', 'MCD']"
53,Daniel Margush,['PO']
54,Thomas Heward-Belle,['PO']
55,Kellan Gordon,"['DFD', 'LD']"
56,Dean Lyness,['PO']
57,Stefan Nigro,"['DFD', 'DFI']"
58,Nik Tzanev,['PO']
59,Zachary Elbouzedi,['MD']
60,Ameen Bukhari,['PO']
61,Ethan Robson,"['MC', 'MCD']"
62,Michael Kempter,['DFI']
63,Matteo Grandi,['PO']
