,player,positions
0,Jimmy Dunne,['DFC']
1,João Amaral,['MCO']
2,Philippe Sandler,['DFC']
3,Bakaye Dibassy,"['DFC', 'DFI']"
4,João Figueiredo,"['DC', 'MI', 'MD']"
5,Jannik Müller,['DFC']
6,Rémy Descamps,['PO']
7,Viti Rozada,"['MD', 'MI']"
8,İrfan Can Eğribayat,['PO']
9,Myziane Maolida,"['MI', 'DC']"
10,Gauthier Hein,"['MD', 'MC', 'MCO']"
11,Ross McCrorie,"['DFD', 'DFC', 'MCD']"
12,Flavio,"['MCD', 'MC', 'MCO']"
13,Doğukan Sinik,"['EI', 'MI']"
14,Robert Piris Da Motta,"['MCD', 'DFC', 'MC']"
15,Lluís López,['DFC']
16,Jairo Farnias,['PO']
17,Vitor Marlão,"['DFI', 'DFC']"
18,Kye Rowles,['DFC']
19,Yakou Méïté,"['DC', 'MD']"
20,Alexis Arias,"['MC', 'MCD', 'MCO']"
21,Noah Joel Sarenren Bazee,['MD']
22,Claud Adjapong,"['DFD', 'LD', 'MD']"
23,Iván Rojas,"['MCD', 'MC']"
24,Jon Bautista,['DC']
25,Koji Miyoshi,"['MD', 'MCO', 'MI']"
26,Rick van Drongelen,['DFC']
27,Iké Ugbo,['DC']
28,Simen Juklerød,"['LI', 'DFI']"
29,Kazuki Kozuka,"['MC', 'MCO']"
30,Elias Cobbaut,['DFC']
31,Sultan Al Ghannam,['DFD']
32,Matteo Cotali,['DFI']
33,Juan David Ríos,"['MCD', 'MC']"
34,Callum Brittain,"['DFD', 'LD']"
35,Mathias Honsak,"['MI', 'MCO', 'MD']"
36,Keegan Rosenberry,"['DFD', 'DFC', 'MD']"
37,Jannes Horn,"['DFI', 'DFC']"
38,Andrei Ivan,"['MI', 'EI', 'DC']"
39,José Contreras,['PO']
40,Scott Wharton,['DFC']
41,Brian Blasi,"['DFD', 'DFC', 'LD']"
42,José Arnáiz,"['MI', 'DC', 'MD']"
43,Ismaël Chester Diallo,"['DFI', 'DFC']"
44,Alexis Soto,"['DFI', 'DFC']"
