,player,positions
0,Jacob Bedeau,['DFC']
1,Luther James-Wildin,"['LD', 'DFD']"
2,Harry Paton,"['MC', 'MCD', 'MCO']"
3,Marcus Godinho,"['MD', 'DFD']"
4,Thibault Campanini,"['DFD', 'LD']"
5,Benjamin Ozegovic,['PO']
6,Bjørn Johnsen,['DC']
7,Patrick Kammerbauer,"['MC', 'MCD', 'MCO']"
8,Ben Fox,['MC']
9,Sören Reddemann,['DFC']
10,Luke Thomas,"['MCO', 'ED']"
11,Ivan Vujica,['DFI']
12,Enzo Guerrero,"['DFC', 'MCD']"
13,Admiral Muskwe,['DC']
14,Samuele Campo,['MCO']
15,Daniel Anyembe,"['DFD', 'DFI']"
16,Frederik Gytkjær,['DC']
17,Fernando Juárez,['MC']
18,Simon Skarlatidis,"['MI', 'MD', 'MC']"
19,Matthew Platt,['DFC']
20,Steve Seddon,"['LI', 'DFI']"
21,John Kitolano,['LI']
22,Paweł Olszewski,"['DFD', 'LD']"
23,Sander Asevedo,['PO']
24,Connor McLennan,"['MD', 'MI', 'LD']"
25,An Byong Jun,['DC']
26,Marcus Johansen Mehnert,"['ED', 'DC']"
27,Manuel Maranda,['DFC']
28,Agyemang Diawusie,"['MD', 'MI']"
29,Thomas Kok,"['MCD', 'DFC']"
30,Dan Cleary,['DFC']
31,Matt Smith,['MC']
32,Michał Mokrzycki,['MCD']
33,Ahn Tae Hyun,"['LI', 'DFI', 'LD']"
34,Juliusz Letniowski,"['MP', 'MC']"
35,Leandro Putaro,"['ED', 'DC', 'EI']"
36,Han Pengfei,['DFC']
37,Conor Masterson,['DFC']
38,Andrew Tarbell,['PO']
39,Liao Junjian,['DFC']
40,Trevor Clarke,['LI']
41,Ziyad Al Sahafi,['DFC']
42,Pablo Pedraza,"['DFC', 'DFI']"
43,Antony Evans,"['MC', 'MCO']"
44,Dennis Widgren,"['DFI', 'DFC', 'LI']"
45,Yavuz Aygün,['PO']
46,Elton Kabangu,"['DC', 'MI']"
47,Lee Grace,['DFC']
48,Joe Pritchard,"['MD', 'MI', 'MC']"
49,Alfie Kilgour,['DFC']
50,Mihai Roman,['DC']
51,Brandon Hanlan,['DC']
52,Owen Evans,['PO']
53,Samuele Perisan,['PO']
54,Zak Jules,"['DFC', 'LI']"
55,Alex Pattison,"['MC', 'MD', 'MCO']"
56,Callum Johnson,"['LD', 'DFD']"
57,Takayuki Seto,"['MCD', 'MC']"
58,Fachendinho,"['DC', 'MD']"
59,Demeaco Duhaney,"['DFD', 'LD']"
60,Yannick Schmid,['DFC']
61,Fernando Luna,"['MCO', 'MI', 'MD']"
62,Thomas Robinet,['DC']
63,Eslem Öztürk,['MCD']
64,Fabian Ehmann,['PO']
65,Fabian Schubert,['DC']
66,Mathew Stevens,['DC']
67,Frédéric Maciel,"['ED', 'EI']"
68,Alim Öztürk,['DFC']
69,Vasile Mogoș,"['DFC', 'MD', 'DFD']"
70,Alec Georgen,['DFD']
71,Harvey Rodgers,['DFC']
72,Nikolai Rehnen,['PO']
73,Remo Arnold,['MCD']
74,Mikkel Pedersen,"['MC', 'MCD']"
75,Erlend Segberg,"['MCD', 'MC']"
76,Gian Filippo Felicioli,['DFI']
77,James Tilley,"['MD', 'LD']"
78,Pritam Kotal,"['DFC', 'DFD']"
79,Akil Wright,['DFC']
80,Georgie Kelly,['DC']
81,Shayon Harrison,['DC']
82,Fredrik Krogstad,['MC']
83,Regan Hendry,['MC']
84,William Kurtović,"['MC', 'MCD']"
85,Jeong Hyun Cheol,"['MCD', 'DFC', 'MC']"
86,Henrik Castegren,"['DFC', 'DFD']"
87,George Lapslie,"['MCO', 'MC']"
88,Sergiu Buș,['DC']
89,Sam Cosgrove,['DC']
90,Sebastian Ring,"['LI', 'DFI']"
91,Uygar Mert Zeybek,['MCD']
92,Jack Sowerby,"['MCD', 'MC']"
93,Jakub Serafin,"['MCD', 'MC']"
94,Kabongo Tshimanga,['DC']
95,Dylan Bahamboula,"['ED', 'DC', 'MD']"
96,Kane Vincent-Young,"['LD', 'DFD', 'LI']"
97,Tom Beadling,"['DFC', 'MCD', 'DFI']"
98,José Luis Moreno,['DFC']
99,Dimitar Mitov,['PO']
100,Joachim Soltvedt,"['DFI', 'LI', 'MI']"
101,Ben Warland,['DFC']
102,Christian Doidge,['DC']
103,Dom Telford,['DC']
104,Antonio Portales,['DFC']
105,Walter Cabrera,"['DFC', 'DFD']"
106,He Guan,['DFC']
107,Li Shenglong,"['DC', 'ED']"
108,Rao Weihui,"['LI', 'DFI']"
109,Fabio Strauss,['DFC']
110,MJ Williams,"['MCD', 'MC']"
111,Max Clark,"['DFI', 'LI']"
112,Ali Yaşar,"['DFI', 'LI']"
113,Farrend Rawson,['DFC']
114,Timo Königsmann,['PO']
115,George Maris,"['MCD', 'MC']"
116,Bendjaloud Youssouf,"['DFD', 'LD', 'MD']"
117,Emre Taşdemir,"['DFI', 'MI']"
118,Mickey Demetriou,['DFC']
119,Erdem Özgenç,['DFD']
120,Erten Ersu,['PO']
121,Selim Ay,['DFC']
122,Liam Smith,"['LD', 'DFC']"
123,Tom Davies,['DFC']
124,Ben Close,"['MC', 'MCD']"
125,François-Xavier Fumu Tamuzo,"['MD', 'MI', 'MC']"
126,Jordan Smith,['PO']
127,Lee Tae Hui,['PO']
128,Otis Khan,['MI']
129,Gu Chao,['PO']
130,Ted Bishop,['MC']
131,Zheng Kaimu,"['DFC', 'MC']"
132,John Olav Norheim,"['DFC', 'MCD']"
133,Callum Burton,['PO']
134,Lee Myung Jae,['DFI']
135,Li Songyi,"['DFC', 'MC']"
136,Han Rongze,['PO']
137,Liao Lisheng,"['MC', 'MCD']"
138,Ben Sweat,"['DFI', 'LI']"
139,Kim Yong Hwan,['DFD']
140,Gary O'Neill,['MC']
141,Rayan Al Mousa,['MCD']
142,Mohammed Al Saiari,['DC']
143,Jordan Rossiter,"['MCD', 'MC']"
144,Martin Samuelsen,"['DC', 'MD']"
145,Amadou Bakayoko,['DC']
146,George Thomas,"['MCO', 'MC']"
147,Courtney Baker-Richardson,['DC']
148,Tom Conlon,['MC']
149,Abraham Cabrera,"['DFC', 'DFI']"
150,Lorenzo Paramatti,"['DFC', 'DFD']"
