,player,positions
0,Pontus Almqvist,"['DC', 'MI', 'MD']"
1,Mustapha Bundu,"['ED', 'MD']"
2,Simon Olsson,"['MD', 'MC', 'MCD']"
3,Alfie Jones,"['DFC', 'MCD']"
4,Riccardo Marchizza,['DFI']
5,Josema,"['DFI', 'DFC', 'LI']"
6,Ifeanyi Mathew,['MC']
7,Herbie Kane,['MC']
8,Kyle Duncan,"['DFD', 'LD']"
9,Gonzalo Goñi,['DFC']
10,Muhammed Şengezer,['PO']
11,Christian D'Urso,"['MCO', 'MP', 'MC']"
12,Valerio Mantovani,"['DFC', 'DFD']"
13,Brandon Thomas-Asante,"['DC', 'MD', 'MI']"
14,Ortwin De Wolf,['PO']
15,Jacob Karlstrøm,['PO']
16,Ross Sykes,['DFC']
17,Oliver Rathbone,['MC']
18,Jean Carlos,"['MI', 'MD']"
19,Deroy Duarte,"['MC', 'MI']"
20,Valentin Gheorghe,"['EI', 'ED', 'MI']"
21,Kamil Pestka,"['LI', 'MI']"
22,Christian Früchtl,['PO']
23,Daan Heymans,"['MP', 'MCO', 'MC']"
24,Marko Pajač,"['MI', 'DFI', 'LI']"
25,Taylan Duman,"['MCO', 'MC', 'ED']"
26,Stefan Knežević,['DFC']
27,Martínez,['DFC']
28,José Luis Rodríguez,"['MI', 'EI', 'MD']"
29,Juan Leiva,"['MC', 'MCD']"
30,Úmaro Embaló,"['MI', 'MD']"
31,Jeppe Okkels,['EI']
32,Andreas Albers,['DC']
33,Mads Bech Sørensen,"['DFC', 'DFI']"
34,Johannes Eggestein,"['DC', 'MD']"
35,Thiago Rodrigues,['PO']
36,Andy Fisher,['PO']
37,Django Warmerdam,['DFI']
38,Alimami Gory,"['MI', 'MD', 'DC']"
39,Jacobo Kouffati,"['MCO', 'MI']"
40,Davide Eustáquio,['MCO']
41,Óscar Sendinho,['MCD']
42,Tomás Nuninho,['MCD']
43,Sami Al Najai,"['MCO', 'MD', 'MI']"
44,Júnior Morais,['DFI']
45,Patryk Szysz,"['MD', 'DC', 'MI']"
46,Sheriff Sinyan,['DFC']
47,Robin Bormuth,['DFC']
48,Alexis Maldonado,['DFC']
49,Andrew Brody,"['DFI', 'MD', 'DFD']"
