,player,positions
0,Emil Kischka,['MC']
1,Mohammed Marzouq,['DFC']
2,Mayowa Animasahun,['DFC']
3,James Nieuwenhuizen,['PO']
4,Othman Al Othman,"['ED', 'DC']"
5,Oliwier Hyla,"['LD', 'DFC']"
6,Emmanuel Fernandez,['DFC']
7,Aidan Denholm,"['MC', 'MCD']"
8,Sultan Al Harbi,['DFC']
9,Thomas Williams,"['DFC', 'DFI']"
10,Babajide Adeeko,['MC']
11,Charlie O'Connell,"['DFC', 'MCD']"
12,Abdul Rabeeh,"['ED', 'DFD']"
13,Evan McLaughlin,['MCO']
14,Alexandru Blidar,"['MD', 'MI']"
15,Mario Enache,['PO']
16,Antonio Leone,['DFC']
17,Ted Collins,['PO']
18,Kayden Pierre,['DFD']
19,Luke Mariette,['MC']
20,Liu Jiahui,['DFC']
21,Evan Khouri,"['MC', 'MI', 'LI']"
22,Conan Noonan,['DC']
23,Matthew O'Brien,['MCO']
24,Bret Halsey,"['DFD', 'MC']"
25,Kim Ki Hwan,"['LI', 'DFC']"
26,Lara Sharma,['PO']
27,Mohammed Irshad,"['MCD', 'DFC', 'MC']"
28,Ayush Adhikari,['MC']
29,Vishal Yadav,['PO']
30,Adam MacKinnon,['MC']
31,Devendra Murgaonkar,"['DC', 'MI', 'MD']"
32,Samik Mitra,['PO']
33,Federico Brancolini,['PO']
34,Bobby Jones,['PO']
35,Shi Chenglong,['PO']
36,Ludvig Carlius,['MC']
37,Joe Zoherliana,['DFD']
38,Paul Ramfangzauva,['MCD']
39,Ludvig Svanberg,"['DFC', 'DFI']"
40,Chen Chunxin,"['MC', 'LI', 'LD']"
41,Nathan Harness,['PO']
42,Emmanuel Ochoa,['PO']
43,Kingslee Fernandes,"['MC', 'MCD']"
44,Sahil Tavora,"['MCD', 'MC', 'ED']"
45,Gaurav Bora,"['DFC', 'MCD']"
46,Kim Kyu Pyo,['MC']
47,Luis Zamudio,['PO']
48,Halil Yeral,['PO']
49,Sebastian Anderson,"['DFD', 'LD']"
50,Tao Qianglong,"['MD', 'MC', 'MI']"
51,Manaf Abo Yabes,['DFC']
52,Isaac Vanmalsawma,"['MC', 'EI', 'MCD']"
53,Komal Thatal,"['MI', 'MD']"
54,Mohamad Rakip,['DFD']
55,Pontus Kindberg,"['DFI', 'MCD']"
56,Rakan Al Najjar,['PO']
57,Zhou Xin,"['DFC', 'DFD', 'MCD']"
58,Wang Chu,['MCO']
59,Liu Le,"['DFI', 'DFC', 'MI']"
60,Qian Yumiao,"['LD', 'DFD']"
61,Daniel Lalhlimpuia,"['DC', 'MI', 'MCO']"
62,Oliver Byrne,['PO']
63,Kim Hyeong Geun,['PO']
64,Karanjit Singh,['PO']
65,Ramhlunchhunga,"['MCO', 'MC', 'ED']"
66,Abdulaziz Al Harbi,['DFD']
67,Dinesh Singh,"['DFC', 'DFD', 'DFI']"
