,player,positions
0,Christopher Braun,"['DFD', 'DFI']"
1,Taylor Richards,"['MCO', 'MC']"
2,Nils Fröling,['MI']
3,Lars Lukas Mai,['DFC']
4,Oleksandr Pikhalyonok,['MC']
5,Yuki Kobayashi,['DFC']
6,Aly Abeid,['DFI']
7,Elves Baldé,"['EI', 'ED']"
8,Zhong Yihao,"['MI', 'DFI']"
9,Lindrit Kamberi,['DFC']
10,Kerem Kesgin,"['MC', 'MCO']"
11,Ali Al Hassan,"['MCD', 'MC']"
12,San Román,['PO']
13,Nathan Ferguson,"['DFI', 'DFD']"
14,Adam Sørensen,['DFI']
15,JT Marcinkowski,['PO']
16,Toni Domgjoni,"['MC', 'MCD', 'MCO']"
17,Liam Fraser,"['MCD', 'MC', 'DFC']"
18,Jasper van der Werff,['DFC']
19,Ciaron Brown,"['DFI', 'DFC']"
20,Thomas Buitink,"['DC', 'MCO']"
21,Adrian Gryszkiewicz,['DFC']
22,Callum Wright,['MC']
23,Jaylin Lindsey,"['DFD', 'LD', 'DFI']"
24,Anderson Emanuel,"['MI', 'EI']"
25,Yeferson Quintana,['DFC']
26,Angus Thurgate,"['MCD', 'MC', 'MCO']"
27,Diego Sánchez,['DFI']
28,Olaus Jair Skarsem,['MC']
29,Daam Foulon,"['MI', 'DFI', 'DFD']"
30,Lars Dietz,['DFC']
31,Elliot Watt,"['MCD', 'MC']"
32,Nathaniel Atkinson,"['DFD', 'LD']"
33,Axel Bamba,"['DFC', 'DFD']"
34,Jizz Hornkamp,['DC']
35,Kevin Kabran,"['ED', 'DC', 'EI']"
36,Shaquille Pinas,"['DFC', 'DFI']"
37,Harvey Knibbs,"['MCO', 'MI', 'MD']"
38,Roberto Ordóñez,"['DC', 'MP']"
39,Tang Xin,"['LD', 'LI']"
40,Fran Manzanara,"['MCD', 'DFC']"
41,Leonel Justiniano,"['MCD', 'MC', 'MD']"
42,Joaquín Ardaiz,['DC']
43,Tomás Durso,['PO']
44,Lenny Pintor,"['MI', 'MD']"
45,Dani Escriche,['DC']
46,Leonardo Rocha,['DC']
47,Duplexe Tchamba,['DFC']
48,Martin Ellingsen,"['MCD', 'DFC']"
49,Armando Anastasio,"['LI', 'MI', 'DFI']"
50,Matteo Solini,['DFC']
51,Dru Yearwood,"['MC', 'MCD']"
52,Ben Folami,"['MI', 'MD', 'DC']"
53,Rayco,"['MD', 'MI', 'MCO']"
54,Aléxandros Katránis,"['DFI', 'MI']"
55,Ibrahima Wadji,['DC']
56,Dimitrios Kolovetsios,['DFC']
57,Panutche Camará,['MC']
58,Mehdi Merghem,"['MD', 'ED']"
59,Liu Yang,"['DFI', 'MI']"
60,Maximiliano Perg,"['DFC', 'DFD']"
61,Luca Marseiler,"['MI', 'MD']"
62,Maren Haile-Selassie,"['MD', 'MP', 'MI']"
63,Ivan Ljubić,"['MC', 'MCO', 'MCD']"
64,Jann-Fiete Arp,['DC']
65,Ovidiu Popescu,"['MCD', 'DFD', 'MC']"
66,Ákos Kecskés,['DFC']
67,João Queirós,['DFC']
68,Damian Rasak,"['MCD', 'MC']"
69,Sebastian Klaas,"['MCO', 'MC']"
70,Sergio Córdova,"['DC', 'MP']"
71,Marko Raguž,['DC']
72,Merveille Biankadi,"['MD', 'MC']"
73,Isaiah Young,"['MI', 'MD', 'DC']"
