,player,positions
0,Cesar Ibañez,['DFI']
1,Thiago Vecino,['DC']
2,Ezequiel Busquets,"['DFD', 'LD']"
3,Juan Manuel Izquierdo,['DFC']
4,Miguel Ángel Benítez,['DFI']
5,Marcelo González,['MD']
6,Ayrton Cougo,"['LI', 'DFI', 'MI']"
7,Kwon Hyeok Kyu,"['MCD', 'MC', 'DFC']"
8,Răzvan Onea,['DFD']
9,Isak Jansson,"['DC', 'MI']"
10,Aziz Ouattara,"['MCD', 'DFC', 'MC']"
11,Edvard Sandvik Tagseth,"['DFI', 'MC', 'LI']"
12,Tarık Çetin,['PO']
13,Morgan Whittaker,"['MD', 'ED']"
14,Ruslan Neshcheret,['PO']
15,Kevin Pérez,['MCO']
16,Nicola Pavan,"['MC', 'MCD', 'DFC']"
17,Marcel Wędrychowski,['MD']
18,Filip Szymczak,"['DC', 'MD']"
19,Killian Sardella,"['DFD', 'DFI']"
20,Amine Atouchi,['DFC']
21,Zakaria Naidji,['DC']
22,Ruben Roosken,['DFI']
23,Thierry Lutonda,['DFI']
24,Dani Fernández,"['DFD', 'MD']"
25,Saúl Crespo,['MCD']
26,Charles-Andreas Brym,"['DC', 'MD']"
27,Anthony Matos,['DFC']
28,Pape Ndiaga Yade,"['MI', 'EI', 'DC']"
29,Juan David Cabal,"['DFC', 'DFI']"
30,Abu Francis,['MC']
31,Ramon Hendriks,"['DFC', 'DFI']"
32,Ufuk Akyol,"['MCD', 'MC']"
33,George Cîmpanu,"['MD', 'MCO']"
34,Damián Fernández,"['DFC', 'MCD']"
35,Jayson Papeau,"['EI', 'MCO', 'ED']"
36,Manu Justo,"['DC', 'MD']"
37,Carl Gustafsson,"['MC', 'MCD']"
38,Patrick Koronkiewicz,"['LD', 'MD', 'DFD']"
39,Nené,['MC']
40,Ben Voll,['PO']
41,Philippe Paulin Keny,"['DC', 'ED']"
42,Jacob Shaffelburg,"['MI', 'DC']"
43,Giuliano Cerato,['DFD']
44,Maudo Lamine Jarjué,['DFC']
45,Adam Randell,['MC']
46,Thomas Keller,"['DFC', 'MCD']"
47,Niclas Thiede,['PO']
48,Blaž Kramer,['DC']
49,Caín Fara,"['DFD', 'DFC']"
50,Kristian Arnstad,['MC']
51,Octavian Vâlceanu,['PO']
52,Petr Schwarz,"['MC', 'MCD']"
53,Cristian Costin,"['DFD', 'MD']"
54,Pirulo,"['MD', 'MI']"
55,Maxwell Gyamfi,['DFC']
56,Oliver Bundgaard,['DFI']
