,player,positions
0,Kim Do Hyeok,"['MC', 'EI', 'LI']"
1,Víctor Moreno,['DFC']
2,Joe Lolley,"['ED', 'MD', 'MI']"
3,Reece Burke,['DFC']
4,Michael Barrios,"['MD', 'DC']"
5,Alessandro Bellemo,"['MC', 'MCD']"
6,Lovre Kalinić,['PO']
7,Filip Jagiełło,"['MC', 'MCO']"
8,Anthony Mandréa,['PO']
9,Lucas Acosta,['PO']
10,Florent Hadergjonaj,"['DFD', 'DFI']"
11,Mattia Caldara,['DFC']
12,Iván Márquez,['DFC']
13,Assan Ceesay,['DC']
14,Jason Cummings,['DC']
15,Chema,"['DFC', 'DFI']"
16,Uroš Matić,"['MCD', 'MC', 'MCO']"
17,Alex Soares,"['MC', 'MCD']"
18,Raffaele Di Gennaro,['PO']
19,Cristian Bordacahar,"['ED', 'DC', 'MD']"
20,Ignacio Pussetto,['DC']
21,Nicolás Ferreyra,['DFC']
22,Julián Fernández,"['MCD', 'MC']"
23,Josh Windass,"['DC', 'MCO', 'MI']"
24,Pablo Galdames,"['MC', 'MCD', 'MCO']"
25,Rafa Soares,['DFI']
26,Sargis Adamyan,"['DC', 'MI', 'MCO']"
27,Ryan Hedges,"['MD', 'MCO']"
28,Josh Laurent,"['MCD', 'MC', 'MCO']"
29,Enrique Triverio,['DC']
30,Joe Lumley,['PO']
31,Alain Baroja,['PO']
32,Alan Browne,"['MC', 'LD']"
33,Pieter Gerkens,"['MC', 'MCO', 'MCD']"
34,Bart Vriends,['DFC']
35,Damián Musto,"['MCD', 'MC']"
36,Emiliano Méndez,"['MCD', 'MC']"
37,Abdulaziz Hatem,"['MC', 'MCD']"
38,Filipe Ferreira,"['DFI', 'LI', 'DFC']"
39,Scott Hogan,['DC']
40,Marcelo Meli,"['MC', 'MD']"
41,Guido Carrillo,['DC']
42,Carlos Auzqui,"['MCO', 'ED', 'MD']"
43,Leonardo Jara,['DFD']
44,Adrien Hunou,"['DC', 'MC']"
45,Mariano Bíttolo,['MI']
46,Emanuel Insua,['DFI']
47,Horacio Orzán,"['MCD', 'MC', 'DFC']"
48,Diego Braghieri,['DFC']
49,Andrew Hughes,"['DFC', 'LI', 'DFI']"
50,Leandro Benegas,"['DC', 'EI']"
51,Nicolás Pasquini,"['DFI', 'MI', 'MC']"
52,Postigo,['DFC']
53,Jefferson Duque,['DC']
54,Sebastián Pérez,"['MC', 'MCD']"
55,Andrés Ricaurte,"['MCO', 'MCD', 'MC']"
56,Rodrigo Ureña,"['MCD', 'MC']"
57,Rafael Carrascal,"['MC', 'MCD']"
58,William Cuesta,['PO']
59,Vladimir Hernández,"['MI', 'MCO', 'MD']"
60,Juan Zuluaga,"['MC', 'MD', 'MI']"
61,Jorge Arias,"['DFC', 'DFI']"
62,Francesco Forte,['DC']
63,Diego Rodríguez,"['MCD', 'MC']"
64,Davide Biraschi,"['LD', 'DFC', 'DFD']"
65,Sam Gallagher,"['DC', 'MD']"
66,Iver Fossum,['MC']
67,Ken Sema,"['MI', 'EI']"
68,Camacho,"['EI', 'ED', 'MI']"
69,Simon Gustafson,"['MC', 'MCO']"
70,Jacob Une-Larsson,['DFC']
71,Fernando Tobio,['DFC']
72,Bressan,"['DFC', 'DFD']"
73,Ismael Tajouri-Shradi,"['MD', 'ED', 'EI']"
74,Levin Öztunalı,"['MCO', 'ED', 'EI']"
75,Wylan Cyprien,"['MC', 'MCD']"
76,DeAndre Yedlin,"['DFD', 'LD']"
77,Cephas Malele,['DC']
78,Gyasi Zardes,['DC']
79,Callum O'Dowda,"['MI', 'EI', 'DFI']"
