,player,positions
0,Alex Moreno Paz,['DFC']
1,Renzo Sanchez,"['ED', 'EI', 'MP']"
2,Frank Castañeda,"['MCO', 'MI']"
3,Santiago Herrera,"['DC', 'MCO']"
4,Juan Pablo Pignani,['DFC']
5,Marko Lazetić,"['DC', 'MI']"
6,Jung Ho Yeon,"['MC', 'MCD']"
7,Morten Bjørlo,['MC']
8,Daniel Bîrligea,"['DC', 'EI']"
9,Flabián Londoño,"['DC', 'MCO']"
10,Marco Antonio Angulo,"['MCD', 'MC', 'MP']"
11,Alexander Oroz,"['ED', 'EI']"
12,Daniel Eid,"['DFD', 'LD']"
13,Luis Annese,"['DC', 'ED']"
14,Balthazar Pierret,"['MCD', 'MC']"
15,Cihan Çanak,"['MCO', 'MC', 'MD']"
16,Amourricho van Axel Dongen,['EI']
17,Raúl Parra,"['DFD', 'LD']"
18,Caspar Jander,['MC']
19,Brahian Cuello,"['MI', 'MD']"
20,Victor Eriksson,['DFC']
21,Giorgio Cittadini,['DFC']
22,Kristijan Kahlina,['PO']
23,Estanis,"['EI', 'DC', 'ED']"
24,Álvaro Sanz,"['MC', 'MCD']"
25,Wenderson,"['MC', 'MI']"
26,William Kenndal,"['MCD', 'MC']"
27,Alfonso Barco,"['MCD', 'MC']"
28,Alejandro Ramírez,"['MI', 'MD']"
29,Yadaly Diaby,"['EI', 'DC']"
30,Jesús Camargo,['PO']
31,Samuele Vignato,"['MP', 'DC']"
32,Orlando Barreto,"['DFC', 'MCD']"
33,Unai Marrero,['PO']
34,Manuel Romero,['DFC']
35,Teodoro Arce,"['MD', 'EI', 'ED']"
36,Tomás Jacob,"['DFD', 'LD']"
37,Félix Lemaréchal,"['MC', 'MD']"
38,Nacho Martín,"['MCD', 'MC']"
39,Emmanuel Boateng,['MC']
40,Luis Miguel Marquines,['PO']
41,Ilyes Hamache,"['MI', 'MD']"
42,Étienne Kinkoué,['DFC']
43,Gabri Martínez,['MD']
44,Mikael Egill Ellertsson,"['MC', 'MD']"
45,Yusuf Özdemir,"['DFI', 'MI']"
46,Jorge Moreno,['DFC']
47,Youri Baas,"['DFI', 'DFD']"
48,Nilson Angulo,"['MCO', 'DC', 'MD']"
49,Marc Leonard,"['MC', 'MCD']"
50,Javi Llabrés,"['MI', 'MD']"
51,Sacha Delaye,"['MI', 'MCO']"
52,Oğuz Aydın,['MI']
53,Bilal Brahimi,"['MC', 'MI', 'DC']"
54,Samuel Edozie,"['EI', 'MI']"
55,Slavko Damjanović,['DFC']
56,Josh Campbell,"['MC', 'MCO', 'MCD']"
57,Victor Lind,"['ED', 'DC', 'EI']"
58,Patrick Sutter,['DFD']
59,Christian Witzig,['MC']
60,Eros Mancuso,"['DFD', 'LD']"
61,Alex Mitchell,['DFC']
62,Migouel Alfarela,"['DC', 'ED']"
63,Þórir Jóhann Helgason,['MC']
64,Bastida,"['MCD', 'MC']"
65,Salim Ben Seghir,['MI']
66,Ernest Terpiłowski,"['MD', 'MP']"
67,Jovany Campusano,['DFI']
68,Jules Gaudin,['DFI']
