,player,positions
0,Jerónimo Domina,"['DC', 'MI']"
1,Emiliano Bermúdez,['PO']
2,Agustín Toledo,"['MCD', 'MC']"
3,Mauro Peinipil,"['DFD', 'LD', 'MD']"
4,Leandro Barcia,"['ED', 'MP', 'DC']"
5,Lucas de los Santos,"['MC', 'MCD']"
6,Kevin Lopez,"['MCD', 'MC']"
7,Né Lopes,['DFC']
8,Rodrigo Pérez,"['MC', 'MCD', 'ED']"
9,Diego Luna,['DFC']
10,Kévin Keben,"['DFD', 'DFC']"
11,Diego Sánchez,"['DFI', 'LI', 'DFC']"
12,Darko Velkovski,['DFC']
13,Ismajl Beka,['DFC']
14,César Lobi Manzoki,['DC']
15,Moussa N'Diaye,"['DFI', 'MI']"
16,Joseda Álvarez,['DFD']
17,Luca D'Andrea,"['MD', 'ED']"
18,Yáser Asprilla,"['MCO', 'MC']"
19,Yaimar Medina,"['LI', 'MI', 'EI']"
20,Abdulkerim Çakar,"['MD', 'MI']"
21,Nunzio Lella,"['MC', 'MI']"
22,Jacques Ekomié,"['DFI', 'DFC']"
23,Donatien Gomis,['DFC']
24,Adu Ares,"['MI', 'MD']"
25,Matheus Pereira,['DFI']
26,Nik Prelec,['DC']
27,Darijo Grujčić,['DFC']
28,Miguel Nóbrega,['DFC']
29,Adrian Mazilu,"['ED', 'DC', 'MD']"
30,Nadhir Benbouali,['DC']
31,Noah Sadaoui,"['MI', 'DC', 'MD']"
32,Jakub Kadak,"['MCO', 'MC']"
33,Aceves,['PO']
34,Žan Zaletel,['DFC']
35,Enzo Larrosa,['DC']
36,Lucas Souto,"['DFD', 'LD', 'DFI']"
37,Emmanuel Yeboah,"['MD', 'DC']"
38,Maël de Gevigney,['DFC']
39,Nigel Thomas,"['EI', 'ED']"
40,Dylan Tavares,"['LI', 'DFI']"
41,Raphael Schifferl,['DFC']
42,Mehdi Dorval,"['DFD', 'DFI']"
43,Habib Sylla,['DFD']
44,Samuel Soares,['PO']
45,Andreas Christodoulou,['PO']
46,Sébastien Thill,['MCO']
47,Iker Álvarez,['PO']
48,Juan José Mina,['DFD']
49,Jan Gorenc,['DFC']
50,Sayfallah Ltaief,['MI']
51,Sota Mino,"['MCD', 'MC']"
52,Semih Sahin,"['MCD', 'MC']"
53,Maurice Neubauer,['DFI']
54,Yasser Baldé,['DFC']
55,Diego Gómez,"['MC', 'MD', 'MI']"
56,Derry John Murkin,"['LI', 'MI']"
57,Álex Pastor,"['DFC', 'DFD']"
58,Iván Gil,"['MC', 'MCO', 'MD']"
