,player,positions
0,Sauli Väisänen,['DFC']
1,Dani Ramírez,"['MCO', 'MC']"
2,Lucas Cueto,"['EI', 'ED']"
3,Dany Da Silva,['PO']
4,William Boyle,['DFC']
5,Paulo Ricardo,['DFC']
6,Adam Phillips,['MC']
7,Rubio Rubin,['DC']
8,Robert Murić,"['ED', 'MD']"
9,Davide Agazzi,"['MC', 'MCD']"
10,Lewie Coyle,['DFD']
11,Nolan Mbemba,"['MC', 'DFD', 'MCD']"
12,Patryk Dziczek,['MCD']
13,Juan Muñoz,"['DC', 'MCO', 'MC']"
14,Domenik Schierl,['PO']
15,Daniel Armstrong,"['MD', 'ED', 'LD']"
16,Agus Medina,"['MCD', 'MCO', 'MC']"
17,Gideon Jung,"['DFC', 'MCD']"
18,Marco Schuster,"['MCD', 'MC', 'MD']"
19,Marvin Egho,['DC']
20,Antoine Batisse,"['DFC', 'MCD']"
21,Gjoko Zajkov,['DFC']
22,Wessel Dammers,"['DFC', 'MCD']"
23,Lee Gregory,['DC']
24,Adrían Spörle,"['DFI', 'MI']"
25,Lucas Diarte,['DFI']
26,Şener Özbayraklı,['DFD']
27,Caner Osmanpaşa,['DFC']
28,Mathias Hebo Rasmussen,['MC']
29,Francois-Joseph Sollacaro,['PO']
30,Joel Nouble,"['EI', 'DC', 'ED']"
31,Tyler Walker,['DC']
32,Tobias Pachonik,"['LD', 'LI']"
33,Luca Zander,['LD']
34,Yamil Asad,"['MI', 'MC', 'MCO']"
35,Nordin Jackers,['PO']
36,Ji Xiang,"['DFD', 'MD']"
37,Aidi Fulangxisi,"['DFI', 'DFC']"
38,Youssouf Koné,"['DFI', 'DFC']"
39,Chris Cadden,"['DFD', 'LD']"
40,Jairo Vélez,"['MCO', 'MD']"
41,Fidan Aliti,"['DFC', 'DFI']"
42,Donis Avdijaj,"['MCO', 'MI']"
43,Abdulaziz Al Bishi,"['ED', 'EI']"
44,Lee Gwang Hyeok,"['MD', 'MI']"
45,Marko Maroši,['PO']
46,Amine Oudrhiri,"['MC', 'MCD']"
47,Devis Epassy,['PO']
48,Abdulmajeed Al Sulayhim,"['MC', 'MCD']"
49,Bill Tuiloma,"['DFC', 'DFD']"
50,Joe Morrell,"['MC', 'MCD']"
51,Nikita Contini,['PO']
52,Mihai Bălașa,"['DFC', 'DFD']"
53,Leonel González,['DFC']
54,Jonatan Cristaldo,"['DC', 'EI', 'MP']"
55,Runar Espejord,['DC']
56,Dillon Phillips,['PO']
57,Gaëtan Paquiez,"['DFD', 'DFI', 'DFC']"
58,Carl Johansson,['DFC']
59,Jorge Grant,"['MCO', 'MC']"
60,Rafał Augustyniak,"['DFC', 'MCD']"
61,Dominic Iorfa,"['DFC', 'DFD']"
62,Fabian Piasecki,['DC']
63,Cafú,"['MCD', 'MCO']"
64,Brayan Véjar,"['DFI', 'MI']"
65,Yuya Kubo,"['MC', 'MCD', 'MI']"
66,Éric Davis,['DFI']
67,Manuel Perez,"['MCD', 'MC']"
68,Matthew Pennington,['DFC']
69,Abner,"['DFI', 'LI', 'MI']"
70,Cameron Burgess,['DFC']
71,Hendrik Bonmann,['PO']
72,Jean Zimmer,"['DFD', 'MD']"
73,Jeppe Andersen,"['MC', 'MCD']"
74,Fabio Kaufmann,"['ED', 'MC', 'DC']"
75,Marvin Stefaniak,"['MI', 'MCO', 'MC']"
76,Mario Leitgeb,"['MCD', 'MC']"
77,Renaud Emond,['DC']
78,Dario Župarić,['DFC']
79,Nikola Maksimović,['DFC']
80,Callum Elder,"['LI', 'DFI', 'DFC']"
81,Francisco Alarcón,"['DFC', 'MC']"
82,Nicolás Berardo,"['DFC', 'DFI']"
83,Matías Laba,"['MCD', 'MC']"
84,Juan David Valencia,['PO']
85,Juan Arboleda,"['DFD', 'DFI']"
86,Juan Nieto,"['MC', 'MCO']"
87,Cameron Dawson,['PO']
88,Jefersson Martínez,['PO']
89,Yonatan Murillo,"['DFC', 'DFI']"
90,Elias Andersson,"['DFI', 'MC']"
91,Kwasi Okyere Wriedt,['DC']
92,Abdullah Madu,['DFC']
93,Ashley Fletcher,['DC']
94,Andreas Geipl,"['MCD', 'MC']"
95,Jevani Brown,"['DC', 'MCO']"
96,Matt Macey,['PO']
97,Jonathan Ring,"['ED', 'MP']"
