,player,positions
0,Saikou Janneh,['DC']
1,Raghid Al Najjar,['PO']
2,Muhannad Al Qaydhi,['DFC']
3,Nawaf Al Harthi,"['MC', 'MI']"
4,Travis Johnson,"['DFD', 'LD', 'DFC']"
5,Marcel Köstenbauer,['PO']
6,Karol Szymański,['PO']
7,Marcel Schantl,['MC']
8,Niall Morahan,"['MCD', 'MCO']"
9,Tom McGill,['PO']
10,James Ball,"['MC', 'MCO']"
11,Ben Paton,"['DFI', 'MI']"
12,Xie Weijun,"['DC', 'MD']"
13,Will Dennis,['PO']
14,Stephen Duke-McKenna,"['MD', 'MCO', 'MC']"
15,Kim Seung Sub,"['EI', 'DC', 'MI']"
16,Alex Hunt,"['MC', 'MCD']"
17,Eric Dick,['PO']
18,Adam Grinwis,['PO']
19,Luca Ashby-Hammond,['PO']
20,David Norman Jr.,['DFC']
21,Jayden Harris,"['MCD', 'MC']"
22,Yahya Sunbul,"['MD', 'MI', 'DFD']"
23,James Finnerty,['DFC']
24,Will Fitzgerald,['MI']
25,Gao Tianyi,"['MC', 'MCD']"
26,Su Yuanjie,"['DFI', 'DFD']"
27,Apostolos Stamatelopoulos,['DC']
28,Fawaz Al Tryes,"['MI', 'MD']"
29,Khalid Al Shuwayie,['DFC']
30,Daniel Adshead,"['MC', 'MCD']"
31,Feng Boxuan,"['DFD', 'LD']"
32,Li Hailong,"['DFD', 'MC']"
33,Saad Al Khayri,['DFD']
34,Robbie McCourt,"['DFI', 'DFC']"
35,Logan Ketterer,['PO']
36,Conor Kane,['LI']
37,Mark Spenkelink,['PO']
38,Sebastian Pasquali,"['MC', 'MCD']"
39,Sam Dalby,['DC']
40,Aaron Bolger,"['MC', 'MCD']"
41,Jacob Pryts Larsen,['PO']
42,JJ Lunney,['MC']
43,Abdulelah Al Bukhari,"['DFI', 'DFC']"
44,Sam Todd,['DFC']
45,Miles Welch-Hayes,"['DFC', 'DFD']"
46,Long Wei,['MCD']
47,Mohammed Al Saeed,"['DFI', 'EI']"
48,Felix Gschossmann,['PO']
49,Im Dong Hyuk,['DFC']
50,Choi Cheol Won,['PO']
51,Gao Huaze,"['MI', 'MC']"
52,Udanta Singh,"['MD', 'MI']"
53,Li Hong,"['DFI', 'DFC']"
54,Gui Hong,['DC']
55,Reece Cole,"['MC', 'MCO']"
56,Abdulkarim Al Qahtani,"['MCO', 'MD']"
57,Rowllin Borges,"['MCD', 'MC']"
58,Mason Stajduhar,['PO']
59,Will Mannion,['PO']
60,Sam Howes,['PO']
61,Sam Hornby,['PO']
62,Qasem Lajami,['DFC']
63,Halicharan Narzary,"['EI', 'MI']"
64,Yang Zexiang,"['DFD', 'DFI', 'MD']"
65,Scott Allardice,"['MCD', 'MC']"
66,Kristoffer Hoven,['DC']
67,Amund Wichne,['PO']
68,Gan Rui,"['LD', 'DFC']"
69,Dong Yanfeng,"['DFC', 'DFD']"
70,Charlie Colkett,"['MC', 'MCD']"
71,Emircan Altıntaş,['MC']
72,Zhang Li,"['MC', 'MCD']"
73,Donovan Wilson,['DC']
74,Han Seok Jong,"['MCD', 'MC']"
75,Hwang Hyun Soo,['DFC']
76,Yang Boyu,['DFC']
77,Ally Gilchrist,['DFC']
78,Frank Liivak,"['MD', 'DC']"
79,Kiran Limbu,['PO']
80,Laxmikant Kattimani,['PO']
81,Yang Mingyang,"['MC', 'MCD']"
82,Cătălin Țîră,['DC']
83,David Richards,['PO']
84,Choi Bo Kyung,['DFC']
85,Danny Lafferty,"['DFI', 'LI']"
86,Ryan Brennan,"['MC', 'MCO']"
87,Geng Xiaofeng,['PO']
88,Kim Keun Bae,['PO']
89,Jim O'Brien,['MC']
90,Tommy Smith,['DFC']
91,Zhu Ting,"['DFD', 'MD', 'ED']"
92,Gary Deegan,['MCD']
93,Park Chu Young,['DC']
94,Colin Doyle,['PO']
95,Andy Lonergan,['PO']
96,Gudmundur Nökkvason,"['MC', 'MCD']"
97,Maleace Asamoah,"['DC', 'MD']"
98,Kiaoke He,"['DC', 'MCO', 'MD']"
99,Clément Akpa,"['DFI', 'DFC']"
100,Mathis Touho,['EI']
101,Abdelraouf Al Duqail,['PO']
102,Arnau Casas,['DFC']
103,Lucas Kiewitt,['MD']
104,Severin Nioule,"['EI', 'ED']"
105,Robert Kampa,['PO']
106,Adri Suárez,['PO']
107,Rei Tachikawa,"['MC', 'MCO', 'MCD']"
108,Eray Korkmaz,"['DFD', 'DFC']"
109,Joël Schingtienne,['DFC']
110,Juliën Mesbahi,['DFC']
111,Mendy Mamadou,['ED']
112,Pape Ousmane Sakho,['EI']
113,Bilal Bafdili,['MCO']
114,Alaa Bellaarouch,['PO']
115,Sam Schutti,['DFI']
116,Jakub Wajman,['MI']
117,Nathan Buayi-Kiala,['MC']
118,Grzegorz Glapka,"['MD', 'DFD']"
119,Ricardo Gonçalves,"['MCO', 'ED']"
120,Camil Jebara,"['EI', 'DC']"
121,Jeffrey Papa,['DC']
122,Alessandro Morlupo,['PO']
123,Ronald José Rodríguez,['DC']
124,Maksymilian Dziuba,"['MC', 'MCO']"
125,Lorenzo Palmisani,['PO']
126,Findlay Marshall,"['MCO', 'MC', 'MD']"
127,Simone D'Uffizi,"['MI', 'MP', 'MD']"
128,Yann Sturm,['MCO']
129,Filippo Faggi,['MC']
130,Luc Thomas Elsner,['DC']
131,Leon Cuk,['PO']
132,Alexandru Irimia,['MC']
133,Cristian Mihai,"['MCD', 'MCO']"
134,David Irimia,"['DFD', 'MD']"
135,Henrik Koch,['DC']
136,Vénuste Baboula,['MI']
137,Noah Cadiou,['MCD']
138,Gavin Didzilatis,['PO']
139,Corentin Michel,['PO']
140,Luís Semedo,['DC']
141,Giovanny Sequera,"['MC', 'MCD']"
142,Ilyas Ansah,['DC']
143,Kacper Przybyłko,['DFC']
144,Eren Öztürk,['MC']
145,Ali Loune,['MCD']
146,Mihai Adăscăliței,"['MC', 'MCO']"
147,Florian Schmid,['DC']
148,Hannes Heilmair,['PO']
149,Dominik Marczuk,['MD']
150,Jakub Rozwadowski,['MD']
151,Lorenzo Lonardi,"['MC', 'MCD', 'DFC']"
152,Cristian Shiba,"['DFC', 'DFD']"
153,Joel Herrera,['MC']
154,Kellen Fisher,"['DFD', 'LD', 'MD']"
155,Lucjan Klisiewicz,['DC']
156,Matéo Loubatières,['MC']
157,Jordy Rullens,"['DFI', 'DFC']"
158,Layee Kromah,['ED']
159,Samiel Ramón Diarte,['DFC']
160,Mirco Mazzeo,['PO']
161,Tobias Lauritsen,"['MC', 'MD']"
162,Darius Oroian,['DFD']
163,Eren Emre Aydın,"['MCD', 'DFC']"
164,Abdulelah Al Khaibari,['DFI']
165,Elias Myrlid,['DC']
166,Hendrik Mittelstädt,"['DC', 'ED', 'EI']"
167,Chiel Olde Keizer,['DFI']
168,Jorge Pascual,['DC']
169,Pablo Pinto,['DFI']
170,Sada Diallo,"['MC', 'MCD']"
171,Nicolas Alavoine,['PO']
172,Diego Monreal,['DFC']
173,Stephen Afrifa,['DC']
174,Antonio Dumitru,"['ED', 'EI', 'MCO']"
175,Costin Ghiocel,['DFI']
176,Filip Erik Thorvaldsen,['EI']
177,Enrique Bösl,['PO']
178,Richie Sagrado,"['DFD', 'DFI']"
179,Moctar Diop,['DC']
