,player,positions
0,Kenzo Goudmijn,"['MCO', 'MC']"
1,Marco Tilio,"['ED', 'EI']"
2,Jaime Alvarado,"['MCD', 'MC']"
3,Troy Parrott,"['DC', 'ED']"
4,Malik Batmaz,['DC']
5,João Carlos,['DC']
6,Denis Drăguș,"['DC', 'MI']"
7,Makhtar Gueye,['DC']
8,Romero,"['MI', 'MD', 'MCO']"
9,Christian Joel Sánchez,['PO']
10,Christian Kühlwetter,"['DC', 'MD']"
11,Emil Ceïde,"['EI', 'ED']"
12,Edu Espiau,"['DC', 'MD']"
13,Kikas,"['DC', 'ED']"
14,Joseph Hungbo,['ED']
15,Sergio Moreno,['DC']
16,Germán Guiffrey,"['DFC', 'DFI']"
17,Leonardo Benedetti,['MC']
18,Carlos Mendes Gomes,"['MI', 'EI']"
19,Filip Majchrowicz,['PO']
20,Barış Alıcı,"['MD', 'MI']"
21,Elvis Sarić,"['MC', 'MCD']"
22,Jozo Stanić,"['DFD', 'DFC']"
23,Mustafa Eskihellaç,"['MD', 'MI']"
24,Kemal Ademi,['DC']
25,Enrique Clemente,"['DFC', 'DFI']"
26,Giorgi Beridze,"['MI', 'EI']"
27,Adam Idah,['DC']
28,Kelland Watts,['DFC']
29,Antonio Marin,"['MCO', 'EI']"
30,Jorge Félix,"['MI', 'MCO']"
31,Patryk Sokołowski,"['MCD', 'MC']"
32,Jimmy,"['MC', 'MCD']"
33,Peter Haring,"['MCD', 'MC']"
34,Noel Niemann,"['ED', 'DC']"
35,Pierre Patron,['PO']
36,Moritz Broschinski,['DC']
37,Josip Vuković,"['MCD', 'MC']"
38,Garland Gbellé,"['MC', 'MCO']"
39,Joe Gauci,['PO']
40,Efkan Bekiroğlu,"['MC', 'MCO', 'MP']"
41,Mads Frøkjær-Jensen,"['MCO', 'EI']"
42,Nicky Cadden,['LI']
43,Kjell Scherpen,['PO']
44,Florian Rieder,['MI']
45,Bambo Diaby,['DFC']
46,Karlo Letica,['PO']
47,Valentín Burgoa,"['MCO', 'MI']"
48,Gabriele Corbo,['DFC']
49,Emanuel Aiwu,"['DFC', 'MCD']"
50,Bradley Danger,"['DFC', 'MCD']"
51,Manuel Wintzheimer,['DC']
52,Michael Fuentes Vadulli,"['EI', 'MI']"
53,Heriberto Tavares,"['ED', 'MD', 'DC']"
54,Przemysław Wiśniewski,['DFC']
55,Adrian Benedyczak,"['DC', 'MD', 'MI']"
