,player,positions
0,Chris Stokes,"['DFC', 'DFI']"
1,Matty Foulds,['DFI']
2,Simon Murray,['DC']
3,Anthony Breslin,"['DFI', 'LI']"
4,Wang Guoming,['PO']
5,Khiry Shelton,"['DC', 'ED']"
6,Ashley Hunter,"['EI', 'MI']"
7,Feng Jin,"['LD', 'MD', 'ED']"
8,Lü Haidong,"['LI', 'DFI', 'MI']"
9,Deklan Wynne,['DFI']
10,Kieran Green,"['MCD', 'MC']"
11,Levi Sutton,"['MCD', 'MC']"
12,Daniele Sommariva,['PO']
13,James Talbot,['PO']
14,Luke McGee,['PO']
15,Jack Stevens,['PO']
16,Antonio Cisterno,"['MC', 'MD']"
17,Zhang Xiaobin,"['MC', 'MCD', 'DFC']"
18,Bi Jinhao,"['DFC', 'DC']"
19,Yang Kuo,"['LD', 'MC']"
20,Zheng Dalun,"['MD', 'MI', 'DFD']"
21,Zhang Wei,"['LI', 'DFI']"
22,Xu Jiamin,['PO']
23,Dennis Chessa,"['ED', 'MD', 'MCO']"
24,Łukasz Moneta,['MI']
25,Michael Gonçalves,"['DFD', 'DFI']"
26,Leândro,"['DFC', 'LI']"
27,Morten Sætra,['PO']
28,Mikey Devlin,['DFC']
29,Greg Sloggett,"['MCD', 'MC']"
30,Jonathan Rasheed,['PO']
31,Cheng Jin,"['MC', 'MI']"
32,Julián Marchioni,"['MC', 'MCD']"
33,Liam Kinsella,['MC']
34,Yang Xiaotian,['LI']
35,Yang Hyung Mo,['PO']
36,Lü Peng,"['MCD', 'MC']"
37,Shao Puliang,['PO']
38,Li Tixiang,"['MCD', 'MC', 'MI']"
39,Will Nightingale,['DFC']
40,Hamad Al Mansour,"['DFI', 'DFD']"
41,Jaushua Sotirio,"['MI', 'DC', 'MD']"
42,Liam Kelly,"['MC', 'MCD']"
43,Driss Trichard,"['DFI', 'LI']"
44,Raid Al Ghamdi,['DC']
45,Gökcan Kaya,['MCO']
46,Eugene Ansah,['DC']
47,Fejiri Okenabirhie,['DC']
48,Jonas Gemmer,"['MC', 'MCD']"
49,François Yabré,['DFC']
50,Jamal Bajandouh,"['MCD', 'MC']"
51,Jesper Gustavsson,"['MCD', 'MC']"
52,Joel Coleman,['PO']
53,Jakub Vojtuš,['DC']
54,Stefano Minelli,['PO']
55,Patrick Brough,"['DFI', 'LI']"
56,Alex Rufer,"['MCD', 'MC']"
57,Tim Paterok,['PO']
58,Alex Gilliead,"['MC', 'MCD']"
