,player,positions
0,Axel Lindahl,"['DFD', 'MI', 'LD']"
1,Jeffrey Gal,['PO']
2,Gonzalo Álvarez,['ED']
3,Diego Alonso Romero,['PO']
4,Steven Bradley,"['ED', 'MD', 'MI']"
5,Szymon Czyż,"['MP', 'MC', 'MCO']"
6,Tijs Velthuis,['DFC']
7,Rav van den Berg,['DFC']
8,Zarzana,"['ED', 'EI', 'MCO']"
9,Ayesa,['PO']
10,Adam Wharton,"['MCD', 'MC']"
11,Sturla Ottesen,"['LD', 'DFD']"
12,Elies Mahmoud,"['MD', 'MI']"
13,Szymon Lewkot,"['MCD', 'DFC']"
14,Harrison Ashby,"['LD', 'DFD']"
15,Pablo Ortiz,"['DFC', 'DFI']"
16,Issa Fomba,"['MI', 'MD', 'DC']"
17,Maxime Delanghe,['PO']
18,Botond Balogh,['DFC']
19,Omar Sijarić,"['MD', 'MI', 'MCO']"
20,Jonah Fabisch,['MC']
21,Luca Hoole,"['DFD', 'DFC']"
22,Jack MacKenzie,"['DFI', 'LI', 'DFC']"
23,Jaheim Headley,"['DFI', 'LI']"
24,Kévin Boma,['DFC']
25,Kacper Trelowski,['PO']
26,Diego Duarte,['DC']
27,Valerio Mastrantonio,['MC']
28,David Gallardo,"['MI', 'MD']"
29,Agustín Baldi,['MCD']
30,Álex Blesa,"['MC', 'MCD']"
31,Sander Christiansen,"['MCD', 'MC']"
32,James Belshaw,['PO']
33,Marc Tsoungui,['DFI']
34,Efe Tatlı,"['MC', 'MCD']"
35,Florin Ilie,['DFC']
36,Alexandru Oroian,"['EI', 'ED', 'DFI']"
37,Ivo Mammini,['DC']
38,Robert Dadok,"['MD', 'LD']"
39,Mateusz Bartolewski,['DFI']
40,Sekou Sidibe,"['MD', 'MCO']"
41,Lucas Mauragis,['DFI']
42,Isaak Davies,['DC']
43,Francisco Flores,"['DFC', 'DFD']"
44,Warren Bondo,"['MC', 'MD']"
45,Joseph Efford,"['DC', 'ED', 'EI']"
46,Teddy Boulhendi,['PO']
47,Marvin Thiel,['MI']
48,Julian Stark,"['MC', 'DFC']"
49,Filip Bundgaard,"['DC', 'MD']"
50,Cheick Diabaté,['DFC']
51,Oscar Schönfelder,"['MI', 'MD', 'DFI']"
52,Cyril Zabou,"['MCO', 'DC']"
53,Justin Butler,"['MI', 'DC']"
54,Dennis Borkowski,"['EI', 'DC', 'ED']"
55,Lirik Vishi,"['MI', 'MC']"
56,Damjan Pavlovic,"['MC', 'DFD']"
57,Demba Thiam,"['LD', 'DFD', 'DFC']"
58,Gabriel Barès,"['MC', 'MCD']"
59,Ben Chrisene,"['LI', 'DFI']"
60,Federico Versaci,"['MI', 'MD', 'MCO']"
61,Joel Bagan,"['DFI', 'LI']"
62,Gastón Gerzel,"['MI', 'EI']"
63,Nnamdi Collins,['DFC']
64,Matthew Cox,['PO']
65,Andy Smith,['DFC']
66,Jasper Moon,['DFC']
67,Tim Maciejewski,"['MD', 'LD']"
68,Simón Contreras,"['DC', 'ED']"
69,Nathan Shepperd,['PO']
70,Jake Garrett,"['MCD', 'MC']"
71,Patrick Hasenhüttl,['DC']
72,Lamar Yarbrough,['DFC']
73,Patrickson Delgado,"['MCD', 'MC']"
74,Alejandro Samudio,"['MD', 'ED']"
75,Jony Álamo,"['MCD', 'MC']"
76,Rafael Pereira,['DFC']
77,Pablo Pérez,"['DFI', 'EI']"
78,Andri Fannar Baldursson,"['MCD', 'MC']"
79,George Thomason,"['MC', 'MCD']"
80,Marco Ehmann,['DFC']
81,Simon Stehle,['DC']
82,Mohamed Touré,"['DC', 'MI']"
83,Bartłomiej Wdowik,"['MI', 'LI', 'DFI']"
84,Thiago,"['MI', 'MC']"
85,Jon Birkfeldt,['DFC']
