"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"5226",28,38,1,14,16,11,2017,1,1,1,46,1,NA,28,38,1,14,6,1,1,2,2,50,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5227",28,38,1,14,10,5,2017,1,1,1,59,1,NA,28,38,1,14,7,1,1,2,2,54,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5228",28,38,1,14,14,7,2017,1,1,1,25,1,NA,28,38,1,14,6,1,1,2,2,26,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5229",28,38,1,14,2,6,2017,1,1,1,18,2,NA,28,38,1,14,6,1,1,2,2,18,2,11,28,38,1,14,6,2,3,NA,1,"Soto la Marina"
"5230",28,38,1,14,27,1,2017,1,1,1,52,1,NA,28,3,1,11,6,1,1,2,2,45,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5231",28,38,1,14,27,5,2017,1,1,1,31,2,NA,28,38,1,14,7,1,1,2,2,45,2,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5232",28,38,1,14,22,7,2017,1,1,1,26,1,NA,28,38,1,14,7,1,1,2,2,23,1,NA,28,9,1,13,7,1,1,2,1,"Soto la Marina"
"5233",28,38,1,14,4,11,2017,2,1,1,27,1,NA,28,38,1,14,NA,1,1,1,2,30,1,NA,35,999,9999,NA,2,1,1,1,1,"Soto la Marina"
"5234",28,38,1,14,21,12,2017,2,1,1,30,1,NA,28,38,1,14,NA,NA,NA,NA,2,38,1,NA,28,38,1,14,NA,NA,NA,NA,1,"Soto la Marina"
"5235",28,38,1,14,14,1,2017,2,1,1,26,1,NA,28,38,1,14,7,1,1,2,2,25,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5236",28,38,1,14,13,11,2017,1,1,1,20,1,NA,28,3,1,11,6,1,1,2,2,20,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5237",28,38,1,14,28,12,2017,1,1,1,30,1,NA,28,38,1,14,7,1,1,2,2,30,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5238",28,38,1,14,1,8,2017,1,1,1,23,1,NA,28,38,1,14,6,1,1,2,2,23,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5239",28,38,1,14,22,9,2017,2,1,1,33,1,NA,28,9,1,13,6,1,1,2,2,28,1,NA,35,999,9999,NA,6,1,1,2,1,"Soto la Marina"
"5240",28,38,1,14,11,3,2017,1,1,1,35,1,NA,28,38,1,14,7,1,1,2,2,38,2,NA,28,9,1,13,7,1,1,2,1,"Soto la Marina"
"5241",28,38,1,14,5,1,2017,1,1,1,37,1,NA,28,9,1,13,7,1,1,2,2,36,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5242",28,38,1,14,26,4,2017,1,1,1,27,1,NA,28,38,1,14,6,1,1,2,2,30,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5243",28,38,1,14,18,4,2017,1,1,1,29,1,NA,28,38,1,14,6,1,1,2,2,32,1,NA,28,38,1,14,5,1,1,2,1,"Soto la Marina"
"5244",28,38,1,14,23,6,2017,1,1,1,40,1,NA,28,9,1,13,6,1,1,2,2,37,1,NA,28,9,1,13,6,1,1,2,1,"Soto la Marina"
"5245",28,38,1,14,6,4,2017,1,1,1,46,1,NA,28,38,1,14,6,1,1,2,2,43,1,11,28,38,1,14,6,2,3,NA,1,"Soto la Marina"
"5246",28,38,1,14,28,8,2017,1,1,1,23,1,NA,28,38,1,14,4,1,1,2,2,21,1,11,28,38,1,14,5,2,3,NA,1,"Soto la Marina"
"5247",28,38,1,14,17,11,2017,2,1,1,27,1,NA,28,38,1,14,6,1,1,2,2,25,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5248",28,38,1,14,10,5,2017,2,1,1,63,1,NA,28,38,1,14,6,1,1,2,2,50,1,11,28,38,1,14,6,2,3,NA,1,"Soto la Marina"
"5249",28,38,1,14,24,7,2017,1,1,1,24,1,NA,15,39,1,14,6,1,1,2,2,26,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5250",28,38,1,14,8,7,2017,1,1,1,37,1,NA,28,38,1,14,7,1,1,2,2,43,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5251",28,38,1,14,30,9,2017,1,1,1,33,1,NA,35,999,9999,NA,7,1,1,2,2,32,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5252",28,38,1,14,29,7,2017,1,1,1,32,2,NA,28,38,1,14,6,1,1,2,2,27,2,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5253",28,38,1,14,9,5,2017,1,1,1,26,1,NA,28,9,1,13,7,1,1,6,2,27,1,2,28,3,9999,NA,7,1,1,2,1,"Soto la Marina"
"5254",28,38,1,14,28,9,2017,1,1,1,43,1,NA,28,27,1,14,4,1,1,2,2,36,1,11,28,38,1,14,5,2,3,NA,1,"Soto la Marina"
"5255",28,38,1,14,17,6,2017,1,1,1,32,1,NA,28,9,1,13,7,1,1,2,2,35,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5256",28,38,1,14,9,6,2017,1,1,1,27,2,NA,28,38,1,14,7,1,1,2,2,21,2,11,28,9,1,13,5,2,3,NA,1,"Soto la Marina"
"5257",28,38,1,14,24,11,2017,1,1,1,31,1,4,28,38,1,14,7,1,1,5,2,29,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5258",28,38,1,14,30,8,2017,1,1,1,78,1,NA,28,38,1,14,4,1,1,2,2,63,1,NA,28,38,1,14,4,1,1,2,1,"Soto la Marina"
"5259",28,38,1,14,22,6,2017,2,1,1,42,1,NA,28,9,1,13,6,1,1,2,2,40,1,NA,28,3,1,11,7,1,1,2,1,"Soto la Marina"
"5260",28,38,1,14,25,5,2017,1,1,1,39,1,NA,28,38,1,14,7,1,1,2,2,26,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5261",28,38,1,14,11,5,2017,1,1,1,34,1,NA,28,3,1,11,6,1,1,2,2,36,1,NA,28,3,1,11,7,1,1,2,1,"Soto la Marina"
"5262",28,38,1,14,14,12,2017,2,1,1,27,1,NA,28,38,1,14,5,1,1,2,2,31,1,NA,28,3,1,11,7,1,1,2,1,"Soto la Marina"
"5263",28,38,1,14,17,7,2017,2,1,1,37,2,NA,35,999,9999,NA,7,1,1,2,2,29,2,NA,35,999,9999,NA,7,1,1,2,1,"Soto la Marina"
"5264",28,38,1,14,30,6,2017,1,1,1,31,1,NA,28,38,1,14,5,1,1,2,2,21,1,NA,28,38,1,14,6,1,1,6,1,"Soto la Marina"
"5265",28,38,1,14,27,4,2017,1,1,1,25,1,NA,28,38,1,14,7,1,1,2,2,27,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5266",28,38,1,14,15,3,2017,2,1,1,29,1,NA,28,3,1,11,5,1,1,2,2,28,1,NA,28,3,1,11,7,1,1,2,1,"Soto la Marina"
"5267",28,38,1,14,11,4,2017,1,1,1,25,1,NA,28,38,1,14,6,1,1,2,2,31,1,11,28,38,1,14,5,2,3,NA,1,"Soto la Marina"
"5268",28,38,1,14,23,10,2017,1,1,1,25,1,NA,28,38,1,14,7,1,1,2,2,25,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5269",28,38,1,14,30,6,2017,1,1,1,24,1,NA,28,38,1,14,6,1,1,2,2,25,1,NA,28,38,1,14,6,1,1,2,1,"Soto la Marina"
"5270",28,38,1,14,10,11,2017,2,1,1,24,1,NA,30,133,1,5,6,1,1,2,2,23,1,11,28,38,1,14,7,2,2,NA,1,"Soto la Marina"
"5271",28,38,1,14,22,12,2017,1,1,1,22,2,NA,28,38,1,14,7,1,1,2,2,23,2,NA,28,9,1,13,7,1,1,2,1,"Soto la Marina"
"5272",28,38,1,14,30,11,2017,2,1,1,29,1,NA,28,38,1,14,6,1,1,2,2,27,1,NA,28,38,1,14,7,1,1,2,1,"Soto la Marina"
"5273",19,19,1,13,28,4,2017,2,1,1,27,1,1,19,19,1,13,8,1,1,5,2,22,1,11,19,19,1,13,NA,2,3,NA,1,"Garc¡a"
"5274",19,19,1,13,3,3,2017,2,1,1,25,1,NA,19,19,1,13,7,1,1,2,2,25,2,NA,19,19,1,13,7,1,1,2,1,"Garc¡a"
"5275",19,19,1,13,20,10,2017,1,1,1,37,1,6,19,48,1,14,5,1,1,2,2,41,1,3,19,48,1,14,5,1,1,2,1,"Garc¡a"
"5276",19,19,1,13,12,5,2017,1,1,1,68,1,11,19,48,1,14,4,2,3,NA,2,61,1,11,19,48,1,14,4,2,3,NA,1,"Garc¡a"
"5277",19,19,1,13,18,3,2017,2,1,1,29,1,1,5,18,1,13,7,1,1,5,2,30,1,1,19,19,1,13,NA,1,1,5,1,"Garc¡a"
"5278",19,19,1,13,1,7,2017,1,1,1,34,1,NA,19,39,1,16,7,1,1,2,2,34,1,NA,19,6,1,14,6,1,1,2,1,"Garc¡a"
"5279",19,19,1,13,18,11,2017,2,1,1,35,1,NA,19,26,1,15,8,1,1,2,2,37,1,NA,19,46,1,14,8,1,1,2,1,"Garc¡a"
"5280",19,19,1,13,7,11,2017,1,1,1,34,1,NA,19,26,1,15,7,1,1,2,2,28,1,NA,19,19,1,13,6,1,1,2,1,"Garc¡a"
"5281",19,19,1,13,25,8,2017,1,1,1,19,1,NA,19,19,1,13,5,1,1,1,2,19,1,NA,19,19,1,13,NA,1,1,2,1,"Garc¡a"
"5282",19,19,1,13,18,8,2017,2,1,1,26,1,NA,19,19,1,13,7,1,1,2,2,26,1,NA,19,19,1,13,7,1,1,2,1,"Garc¡a"
"5283",19,19,1,13,29,4,2017,2,1,1,34,1,2,19,19,1,13,7,1,1,5,2,28,1,1,14,39,1,16,7,1,1,5,1,"Garc¡a"
"5284",19,19,1,13,4,3,2017,1,1,1,24,1,NA,19,39,1,16,7,1,1,2,2,26,1,NA,19,39,1,16,7,1,1,2,1,"Garc¡a"
"5285",19,19,1,13,19,8,2017,1,1,1,29,1,NA,19,39,1,16,7,1,1,2,2,26,1,NA,19,39,1,16,NA,1,1,2,1,"Garc¡a"
"5286",19,19,1,13,11,11,2017,2,1,1,40,1,1,19,19,1,13,7,1,1,5,2,28,1,NA,19,39,1,16,7,1,1,2,1,"Garc¡a"
"5287",19,19,1,13,16,12,2017,1,1,1,39,1,NA,19,19,1,13,7,1,1,2,2,35,1,NA,5,30,1,15,7,1,1,2,1,"Garc¡a"
"5288",19,19,1,13,24,6,2017,1,1,1,30,1,2,19,21,1,14,7,1,1,2,2,26,1,2,19,21,1,14,7,1,1,2,1,"Garc¡a"
"5289",19,19,1,13,2,4,2017,2,1,1,25,1,NA,33,999,9999,NA,7,1,1,2,2,23,1,11,19,19,1,13,7,2,3,NA,1,"Garc¡a"
"5290",19,19,1,13,16,8,2017,1,1,1,21,1,NA,19,19,1,13,6,1,1,2,2,20,1,NA,19,19,1,13,5,1,1,2,1,"Garc¡a"
"5291",19,19,1,13,27,10,2017,1,1,1,31,1,NA,19,39,1,16,7,1,1,NA,2,29,1,NA,19,39,1,16,7,NA,NA,NA,1,"Garc¡a"
"5292",19,19,1,13,20,1,2017,1,1,1,27,2,4,19,18,1,12,7,1,1,NA,2,25,2,11,19,18,1,12,7,2,3,NA,1,"Garc¡a"
"5293",19,19,1,13,22,7,2017,2,1,1,39,1,NA,19,19,1,13,NA,NA,NA,NA,2,30,1,NA,19,39,1,16,NA,NA,NA,NA,1,"Garc¡a"
"5294",19,19,1,13,1,7,2017,1,1,1,33,2,NA,19,39,1,16,8,1,1,2,2,29,2,NA,19,39,1,16,8,1,1,2,1,"Garc¡a"
"5295",19,19,1,13,19,5,2017,2,1,1,35,1,NA,19,26,1,15,7,1,1,2,2,33,1,NA,19,39,1,16,7,1,1,2,1,"Garc¡a"
"5296",19,19,1,13,14,7,2017,1,1,1,31,1,NA,19,39,1,16,6,1,1,2,2,32,1,NA,19,19,1,13,6,1,1,2,1,"Garc¡a"
"5297",19,19,1,13,20,1,2017,2,1,1,30,1,NA,19,19,1,13,8,1,1,2,2,27,1,NA,19,26,1,15,8,1,1,2,1,"Garc¡a"
"5298",19,19,1,13,8,7,2017,1,1,1,25,1,NA,19,48,1,14,7,1,1,2,2,21,1,11,19,19,1,13,5,2,3,NA,1,"Garc¡a"
"5299",26,4,1,5,29,5,2017,1,1,1,37,1,8,26,4,1,5,6,1,1,2,2,30,1,11,26,4,1,5,6,2,3,NA,1,"Alamos"
"5300",26,4,1,5,14,2,2017,1,1,1,47,1,NA,26,4,1,5,4,1,1,2,2,36,1,11,26,4,1,5,4,2,3,NA,1,"Alamos"
"5301",7,21,1,5,19,4,2017,1,1,1,35,1,6,7,21,9,1,5,1,1,3,2,30,1,11,7,21,9,1,7,2,3,NA,1,"La Concordia"
"5302",7,21,1,5,16,8,2017,1,1,1,22,1,6,7,21,7777,1,4,1,1,3,2,19,1,11,7,21,22,1,5,2,3,NA,1,"La Concordia"
"5303",7,21,1,5,28,2,2017,1,1,1,61,1,6,7,21,1,5,5,1,1,3,2,60,1,11,7,21,1,5,4,2,3,NA,1,"La Concordia"
"5304",7,21,1,5,22,11,2017,1,1,1,29,1,6,7,21,9,1,5,1,1,3,2,27,1,11,7,21,20,1,5,2,3,NA,1,"La Concordia"
"5305",7,21,1,5,28,2,2017,1,1,1,48,1,NA,7,20,1,5,5,1,1,2,2,28,1,6,7,20,1,5,5,1,1,NA,1,"La Concordia"
"5306",7,21,1,5,18,7,2017,1,1,1,30,1,2,19,39,1,16,7,1,1,2,2,26,1,2,7,21,9,1,7,1,1,2,1,"La Concordia"
"5307",7,21,1,5,26,12,2017,2,1,1,50,1,2,7,21,7777,1,7,1,1,4,2,47,1,2,7,21,7777,1,7,1,1,2,1,"La Concordia"
"5308",7,21,1,5,11,12,2017,1,1,1,18,1,6,7,21,11,1,4,1,1,3,2,18,1,11,7,21,2,2,6,2,2,NA,1,"La Concordia"
"5309",32,38,1,5,5,9,2017,1,1,1,21,1,7,32,38,126,2,6,1,1,1,2,20,1,11,32,38,126,2,6,2,3,NA,1,"P nuco"
"5310",32,38,1,5,23,1,2017,1,1,1,22,1,7,24,35,1,14,4,1,1,1,2,18,1,11,32,38,7777,1,5,2,3,NA,1,"P nuco"
"5311",32,38,1,5,3,7,2017,1,1,1,23,1,NA,32,38,125,4,6,1,1,2,2,19,1,NA,32,38,125,4,5,1,1,2,1,"P nuco"
"5312",32,38,1,5,5,9,2017,1,1,1,31,1,9,32,38,125,4,6,1,1,3,2,25,1,11,32,38,125,4,4,2,3,NA,1,"P nuco"
"5313",32,38,1,5,14,7,2017,1,1,1,38,1,4,32,38,112,2,5,1,1,4,2,40,1,4,32,38,112,2,5,1,1,6,1,"P nuco"
"5314",32,38,1,5,2,3,2017,1,1,1,27,1,9,32,38,219,3,5,1,1,3,2,27,1,11,32,38,219,3,5,2,3,NA,1,"P nuco"
"5315",32,38,1,5,13,1,2017,1,1,1,33,1,9,32,38,219,3,4,1,1,3,2,23,1,11,32,38,7777,1,5,2,3,NA,1,"P nuco"
"5316",32,38,1,5,6,4,2017,1,1,1,27,1,6,32,38,1,5,5,1,1,3,2,31,1,11,32,38,1,5,2,2,3,NA,1,"P nuco"
"5317",32,38,1,5,2,5,2017,1,1,1,25,1,NA,1,1,1,15,7,1,1,2,2,27,1,NA,32,38,105,3,7,1,1,2,1,"P nuco"
"5318",32,38,1,5,6,11,2017,1,1,1,28,1,6,32,38,279,1,5,1,1,3,2,28,1,11,32,38,1,5,5,2,3,NA,1,"P nuco"
"5319",32,38,1,5,7,11,2017,1,1,1,22,1,7,32,38,156,1,4,1,1,1,2,24,1,11,32,38,156,1,4,2,3,NA,1,"P nuco"
"5320",32,38,1,5,28,12,2017,1,1,1,27,1,6,24,46,2,1,5,1,1,3,2,20,1,11,32,38,7777,1,5,2,3,NA,1,"P nuco"
"5321",32,38,1,5,18,5,2017,1,1,1,22,1,7,24,28,1,15,6,1,1,2,2,19,1,11,24,28,1,15,6,2,3,NA,1,"P nuco"
"5322",30,189,1,12,26,4,2017,1,1,1,27,1,2,30,124,1,11,6,1,1,2,2,26,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5323",30,189,1,12,14,9,2017,1,1,1,26,1,NA,30,189,7777,1,7,1,1,2,2,26,1,NA,30,189,8,2,7,1,1,2,1,"Totutla"
"5324",30,189,1,12,2,12,2017,2,1,1,33,1,5,13,48,1,14,5,1,1,4,2,23,1,2,30,189,1,12,7,1,1,2,1,"Totutla"
"5325",30,189,1,12,25,7,2017,1,1,1,31,1,7,30,189,1,12,7,1,1,1,2,34,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5326",30,189,1,12,22,2,2017,1,1,1,26,1,NA,30,189,1,12,6,1,1,2,2,24,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5327",30,189,1,12,14,11,2017,1,1,1,28,1,NA,30,189,23,1,5,1,1,2,2,23,1,NA,30,189,23,1,4,1,1,2,1,"Totutla"
"5328",30,189,1,12,10,4,2017,2,1,1,28,1,11,30,189,1,12,6,2,3,NA,2,32,1,11,30,189,1,12,5,2,3,NA,1,"Totutla"
"5329",30,189,1,12,3,5,2017,1,1,1,26,1,NA,30,189,7777,1,7,1,1,2,2,19,1,11,30,189,1,12,5,2,3,NA,1,"Totutla"
"5330",30,189,1,12,20,2,2017,1,1,1,44,1,8,30,189,1,12,6,1,1,2,2,41,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5331",30,189,1,12,24,1,2017,2,1,1,30,1,8,30,189,1,12,5,1,1,2,2,19,1,11,30,189,1,12,4,2,3,NA,1,"Totutla"
"5332",30,189,1,12,30,1,2017,1,1,1,21,1,NA,30,189,1,12,5,1,1,2,2,24,1,11,30,189,1,12,5,2,3,NA,1,"Totutla"
"5333",30,189,1,12,1,4,2017,1,1,1,39,1,4,30,189,1,12,7,1,1,2,2,32,1,2,30,131,1,13,7,1,1,2,1,"Totutla"
"5334",30,189,1,12,7,3,2017,2,1,1,23,1,NA,30,189,1,12,6,1,1,2,2,20,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5335",30,189,1,12,31,1,2017,1,1,1,41,1,11,30,189,1,12,5,2,6,NA,2,45,1,11,30,189,1,12,4,2,3,NA,1,"Totutla"
"5336",30,189,1,12,19,12,2017,1,1,1,27,1,2,30,189,29,1,6,1,1,2,2,26,1,11,30,189,90,1,6,2,6,NA,1,"Totutla"
"5337",30,189,1,12,21,8,2017,1,1,1,30,1,5,30,175,41,2,6,1,1,2,2,21,1,11,30,189,1,12,7,2,3,NA,1,"Totutla"
"5338",30,189,1,12,27,7,2017,1,1,1,60,1,NA,30,189,1,12,7,1,1,2,2,56,1,11,30,189,1,12,5,2,3,NA,1,"Totutla"
"5339",30,189,1,12,14,3,2017,1,1,1,24,1,5,30,189,29,1,6,1,1,2,2,24,1,NA,28,38,1,14,5,1,1,2,1,"Totutla"
"5340",30,189,1,12,21,4,2017,1,1,1,26,1,7,30,189,1,12,7,1,1,1,2,25,1,2,30,189,1,12,7,1,1,2,1,"Totutla"
"5341",30,189,1,12,7,4,2017,1,1,1,23,1,NA,30,189,1,12,7,1,1,2,2,26,1,11,30,189,1,12,7,2,3,NA,1,"Totutla"
"5342",30,189,1,12,7,2,2017,1,1,1,23,1,NA,30,189,7777,1,6,1,1,2,2,21,1,11,30,189,7777,1,5,2,3,NA,1,"Totutla"
"5343",30,189,1,12,10,2,2017,2,1,1,22,1,NA,30,189,1,12,6,1,1,2,2,21,1,11,30,189,1,12,6,2,3,NA,1,"Totutla"
"5344",30,189,1,12,18,12,2017,1,1,1,25,1,5,13,48,1,14,7,1,1,2,2,25,1,2,30,189,1,12,7,1,1,2,1,"Totutla"
"5345",30,189,1,12,21,12,2017,1,1,1,29,1,NA,30,189,83,5,7,1,1,2,2,28,1,NA,30,189,83,5,7,1,1,2,1,"Totutla"
"5346",15,33,1,17,30,9,2017,1,1,1,65,1,NA,15,33,1,17,6,1,1,2,2,49,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5347",15,33,1,17,8,3,2017,1,1,1,21,1,NA,15,33,1,17,6,1,1,2,2,22,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5348",15,33,1,17,15,2,2017,1,1,1,40,1,NA,15,33,1,17,5,1,1,2,2,39,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5349",15,33,1,17,20,5,2017,1,1,1,32,1,NA,15,33,1,17,7,1,1,2,2,24,1,11,15,33,1,17,7,2,2,NA,1,"Donato Guerra"
"5350",15,33,1,17,7,1,2017,1,1,1,22,1,NA,15,33,1,17,5,1,1,2,2,21,1,11,15,33,1,17,6,2,2,NA,1,"Donato Guerra"
"5351",15,33,1,17,27,5,2017,2,1,1,38,1,NA,15,33,1,17,6,1,1,2,2,33,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5352",15,33,1,17,3,4,2017,2,1,1,25,1,NA,15,24,1,13,6,1,1,2,2,23,1,11,15,24,1,13,6,2,3,NA,1,"Donato Guerra"
"5353",15,33,1,17,9,6,2017,2,1,1,22,1,4,15,33,1,17,6,1,1,4,2,27,1,2,15,33,1,17,7,1,1,4,1,"Donato Guerra"
"5354",15,33,1,17,16,2,2017,1,1,1,44,1,NA,15,33,1,17,5,1,1,2,2,39,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5355",15,33,1,17,10,1,2017,1,1,1,21,1,11,15,33,1,17,6,2,2,NA,2,20,1,11,15,33,1,17,6,2,2,NA,1,"Donato Guerra"
"5356",15,33,1,17,28,2,2017,1,1,1,52,1,NA,15,33,1,17,5,1,1,2,2,51,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5357",15,33,1,17,8,9,2017,2,1,1,23,1,8,15,33,1,17,6,1,1,2,2,33,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5358",15,33,1,17,24,3,2017,1,1,1,26,1,7,15,33,1,17,6,1,1,1,2,25,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5359",15,33,1,17,8,5,2017,1,1,1,23,1,4,15,33,1,17,5,1,1,4,2,23,1,4,15,33,1,17,5,1,1,4,1,"Donato Guerra"
"5360",15,33,1,17,17,6,2017,1,1,1,33,1,NA,15,33,1,17,5,1,1,2,2,32,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5361",15,33,1,17,14,3,2017,1,1,1,33,1,NA,15,33,1,17,5,1,1,2,2,40,1,NA,15,33,1,17,4,1,1,2,1,"Donato Guerra"
"5362",15,33,1,17,23,12,2017,2,1,1,26,1,5,15,33,1,17,6,1,1,2,2,28,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5363",15,33,1,17,13,1,2017,1,1,1,33,1,NA,9,11,1,14,5,1,1,2,2,29,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5364",15,33,1,17,19,7,2017,1,1,1,26,1,NA,15,33,1,17,6,1,1,2,2,26,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5365",15,33,1,17,13,6,2017,2,1,1,19,1,NA,15,33,1,17,6,1,1,2,2,19,1,NA,9,15,1,15,6,1,1,2,1,"Donato Guerra"
"5366",15,33,1,17,9,2,2017,1,1,1,26,1,NA,9,17,1,14,6,1,1,2,2,33,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5367",15,33,1,17,11,5,2017,1,1,1,43,1,NA,15,33,1,17,5,1,1,2,2,42,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5368",15,33,1,17,12,12,2017,2,1,1,65,1,2,15,33,1,17,7,1,1,2,2,29,1,3,15,33,206,1,6,1,1,2,1,"Donato Guerra"
"5369",15,33,1,17,21,2,2017,1,1,1,56,1,NA,15,37,1,5,5,1,1,2,2,54,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5370",15,33,1,17,22,12,2017,1,1,1,26,1,NA,15,33,1,17,7,1,1,2,2,21,1,11,15,33,1,17,7,2,2,NA,1,"Donato Guerra"
"5371",15,33,1,17,4,3,2017,1,1,1,24,1,5,15,33,1,17,5,1,1,2,2,27,1,2,15,33,1,17,7,1,1,2,1,"Donato Guerra"
"5372",15,33,1,17,11,5,2017,1,1,1,24,1,8,15,33,1,17,6,1,1,2,2,23,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5373",15,33,1,17,19,12,2017,1,1,1,80,1,11,15,33,1,17,5,2,6,NA,2,77,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5374",15,33,1,17,21,9,2017,1,1,1,34,1,NA,15,33,1,17,7,1,1,2,2,27,1,NA,15,33,1,17,7,1,1,2,1,"Donato Guerra"
"5375",15,33,1,17,27,4,2017,1,1,1,52,1,2,15,33,1,17,5,1,1,4,2,42,1,11,15,33,1,17,6,2,3,NA,1,"Donato Guerra"
"5376",15,33,1,17,22,9,2017,1,1,1,22,1,NA,15,33,1,17,6,1,1,2,2,21,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5377",15,33,1,17,24,11,2017,1,1,1,32,1,9,15,33,1,17,5,1,1,1,2,31,1,9,15,33,1,17,5,1,1,1,1,"Donato Guerra"
"5378",15,33,1,17,9,11,2017,2,1,1,32,1,7,15,33,1,17,5,1,1,1,2,20,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5379",15,33,1,17,10,1,2017,1,1,1,26,1,NA,15,33,1,17,6,1,1,2,2,28,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5380",15,33,1,17,21,6,2017,1,1,1,19,1,11,15,33,1,17,6,2,2,NA,2,20,1,11,15,33,1,17,6,2,2,NA,1,"Donato Guerra"
"5381",15,33,1,17,9,2,2017,2,1,1,26,1,NA,15,33,1,17,6,1,1,2,2,21,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5382",15,33,1,17,9,12,2017,2,1,1,32,1,2,15,33,1,17,7,1,1,2,2,33,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5383",15,33,1,17,20,9,2017,1,1,1,29,2,NA,15,33,1,17,NA,1,1,2,2,30,1,11,15,33,1,17,NA,2,3,NA,1,"Donato Guerra"
"5384",15,33,1,17,8,7,2017,1,1,1,30,1,2,15,33,1,17,7,1,1,2,2,29,1,2,15,33,1,17,7,1,1,2,1,"Donato Guerra"
"5385",15,33,1,17,6,3,2017,2,1,1,37,1,NA,15,33,1,17,6,1,1,2,2,41,1,NA,15,33,1,17,6,1,1,2,1,"Donato Guerra"
"5386",15,33,1,17,24,2,2017,1,1,1,25,1,NA,15,33,1,17,5,1,1,2,2,24,1,11,15,33,1,17,4,2,3,NA,1,"Donato Guerra"
"5387",15,33,1,17,9,3,2017,1,1,1,46,1,7,15,33,1,17,5,1,1,1,2,27,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
"5388",15,33,1,17,2,3,2017,1,1,1,22,1,NA,15,33,1,17,5,1,1,2,2,21,1,11,15,33,1,17,5,2,3,NA,1,"Donato Guerra"
