"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"35",15,118,1,11,17,6,2017,1,1,1,21,1,4,15,118,59,5,5,1,1,4,2,19,1,4,15,106,1,14,5,1,1,4,1,"Zacualpan"
"36",15,118,1,11,4,3,2017,1,1,1,20,1,7,15,118,58,6,6,1,1,1,2,20,1,11,15,118,64,5,6,2,3,NA,1,"Zacualpan"
"37",15,118,1,11,1,9,2017,1,1,1,28,1,2,15,118,54,1,7,1,1,2,2,25,1,3,15,106,97,7,7,1,1,2,1,"Zacualpan"
"38",15,118,1,11,22,12,2017,1,1,1,38,1,4,15,106,1,14,6,1,1,4,2,36,1,4,15,118,58,6,6,1,1,4,1,"Zacualpan"
"39",15,118,1,11,1,3,2017,1,1,1,59,1,7,15,118,1,11,2,1,1,2,2,61,1,11,15,118,53,7,2,2,3,NA,1,"Zacualpan"
"40",15,118,1,11,1,3,2017,1,1,1,46,1,NA,15,118,53,7,5,1,1,2,2,42,1,11,15,118,53,7,5,2,3,NA,1,"Zacualpan"
"41",15,118,1,11,15,7,2017,1,1,1,25,1,NA,17,29,13,5,7,1,1,2,2,32,1,11,15,118,58,6,7,2,3,NA,1,"Zacualpan"
"42",15,118,1,11,23,9,2017,2,1,1,26,1,7,15,118,54,1,6,1,1,1,2,22,1,11,15,118,54,1,6,2,3,NA,1,"Zacualpan"
"43",15,118,1,11,17,7,2017,1,1,1,29,1,5,15,118,53,7,6,1,1,2,2,18,1,11,15,118,53,7,6,2,3,NA,1,"Zacualpan"
"44",15,118,1,11,29,6,2017,1,1,1,19,1,7,15,118,6,1,5,1,1,1,2,18,1,11,15,118,54,1,5,2,3,NA,1,"Zacualpan"
"45",15,118,1,11,18,8,2017,2,1,1,21,1,3,15,118,1,11,5,1,1,2,2,20,1,11,15,118,1,11,5,2,3,NA,1,"Zacualpan"
"46",15,118,1,11,7,7,2017,1,1,1,23,1,7,15,118,1,11,6,1,1,1,2,23,1,11,15,118,58,6,6,2,2,NA,1,"Zacualpan"
"47",15,118,1,11,3,2,2017,1,1,1,27,1,7,15,106,1,14,6,1,1,1,2,28,1,7,15,118,58,6,6,1,1,1,1,"Zacualpan"
"48",15,118,1,11,4,9,2017,1,1,1,24,1,NA,15,54,41,4,6,1,1,2,2,30,1,NA,15,118,64,5,6,1,1,2,1,"Zacualpan"
"49",15,118,1,11,1,4,2017,1,1,1,31,1,4,15,118,60,1,6,1,1,4,2,24,1,11,15,118,60,1,6,2,2,NA,1,"Zacualpan"
"50",15,118,1,11,20,1,2017,2,1,1,26,1,2,15,118,1,11,7,1,1,2,2,22,1,11,15,118,53,7,6,2,3,NA,1,"Zacualpan"
"51",15,118,1,11,7,12,2017,2,1,1,28,1,3,15,118,58,6,7,1,1,2,2,28,1,3,15,118,58,6,7,1,1,2,1,"Zacualpan"
"52",15,118,1,11,6,1,2017,1,1,1,32,1,2,22,14,1,15,5,1,1,2,2,25,1,NA,22,14,1,15,5,1,1,2,1,"Zacualpan"
"53",15,118,1,11,6,12,2017,1,1,1,24,1,7,15,118,58,6,5,1,1,1,2,22,1,11,15,118,58,6,5,2,3,NA,1,"Zacualpan"
"54",15,118,1,11,23,12,2017,1,1,1,23,1,2,15,118,64,5,7,1,1,2,2,22,1,2,15,118,64,5,7,1,1,2,1,"Zacualpan"
"55",15,118,1,11,14,2,2017,1,1,1,35,1,7,15,118,1,11,5,1,1,1,2,37,1,11,15,118,1,11,5,2,3,NA,1,"Zacualpan"
"56",15,118,1,11,4,10,2017,1,1,1,24,1,7,15,118,1,11,5,1,1,1,2,20,1,11,15,118,54,1,5,2,2,NA,1,"Zacualpan"
"57",15,10,1,6,11,3,2017,2,1,1,60,1,4,15,10,7,4,4,1,1,4,2,39,1,4,15,10,7,4,4,1,1,4,1,"Amecameca"
"58",15,10,1,6,8,7,2017,1,1,1,25,1,NA,15,10,1,6,7,1,1,2,2,25,1,NA,15,10,1,6,7,1,1,2,1,"Amecameca"
"59",15,10,1,6,7,8,2017,1,1,1,33,1,6,15,10,1,6,5,1,1,3,2,29,1,4,15,10,1,6,6,1,1,4,1,"Amecameca"
"60",15,10,1,6,7,10,2017,1,1,1,42,1,7,15,10,1,6,6,1,1,1,2,40,1,11,15,10,1,6,5,2,3,NA,1,"Amecameca"
"61",15,10,1,6,13,12,2017,1,1,1,34,1,1,15,10,2,4,7,1,1,2,2,22,1,2,15,10,1,6,6,1,1,2,1,"Amecameca"
"62",15,10,1,6,29,11,2017,1,1,1,40,1,8,15,10,1,6,4,1,1,4,2,40,1,NA,15,10,1,6,5,1,1,2,1,"Amecameca"
"63",15,10,1,6,6,4,2017,1,1,1,29,1,NA,13,70,1,5,7,1,1,2,2,28,1,NA,13,70,1,5,7,1,1,2,1,"Amecameca"
"64",15,10,1,6,29,5,2017,1,1,1,59,1,6,15,10,7,4,1,1,1,NA,2,66,1,11,15,10,7,4,3,2,3,NA,1,"Amecameca"
"65",15,10,1,6,8,12,2017,1,1,1,45,1,7,15,10,21,2,5,1,1,1,2,44,1,NA,15,10,21,2,5,1,1,2,1,"Amecameca"
"66",2,2,1,15,19,5,2017,NA,1,1,34,1,2,2,2,1,15,7,1,1,NA,2,40,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"67",2,2,1,15,27,1,2017,NA,1,1,31,1,2,2,2,1,15,7,1,1,NA,2,35,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"68",2,2,1,15,1,2,2017,NA,1,1,25,1,4,25,12,1,14,NA,1,1,NA,2,25,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"69",2,2,1,15,24,6,2017,NA,1,1,29,1,NA,2,2,1,15,NA,1,1,NA,2,24,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
