"ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON"
27,14,1,8,19,12,2017,1,1,1,22,1,98,27,14,9,3,5,1,1,2,2,25,1,98,27,14,9,3,7,1,1,2,1
15,54,34,8,8,12,2017,1,1,1,55,1,2,15,106,1,14,7,1,1,2,2,48,1,11,15,106,75,1,7,2,3,9,1
14,45,1,5,13,1,2017,1,1,1,23,2,7,33,999,9999,99,6,1,1,3,2,20,1,11,14,45,7777,1,4,2,3,9,1
25,9,60,4,27,6,2017,1,1,1,28,1,9,25,9,23,2,4,1,1,2,2,26,1,11,25,9,60,4,6,2,3,9,1
5,35,1,15,18,5,2017,1,1,1,38,1,98,5,35,1,15,5,1,1,1,2,41,1,11,5,35,1,15,5,2,3,9,1
20,67,1,14,6,7,2017,2,1,1,39,1,2,20,67,1,14,5,1,1,4,2,39,1,2,20,67,1,14,7,1,1,2,1
15,58,1,16,3,11,2017,1,1,1,30,1,98,15,58,1,16,6,1,1,2,2,27,1,98,15,58,1,16,7,1,1,2,1
12,61,1,8,22,9,2017,1,1,1,19,1,11,12,61,1,8,7,2,2,9,2,19,1,11,12,61,1,8,7,2,2,9,1
21,114,1,16,15,9,2017,1,1,1,26,1,4,29,5,1,10,6,1,1,4,2,22,1,11,21,114,1,16,7,2,2,9,1
26,35,1,5,23,1,2017,1,1,1,25,1,98,26,43,1,13,7,1,1,2,2,27,1,98,26,43,1,13,6,1,1,2,1
7,78,1,13,28,6,2017,1,1,1,63,1,4,7,78,1,13,1,1,1,4,2,42,1,11,7,78,1,13,3,2,3,9,1
11,3,1,11,13,10,2017,2,1,1,34,1,2,1,7,1,8,7,1,1,4,2,32,1,2,19,46,1,14,7,1,1,4,1
25,12,1,14,16,5,2017,1,1,1,50,1,5,25,12,1,14,5,1,1,2,2,37,1,11,25,12,1,14,6,2,3,9,1
19,39,1,16,17,6,2017,1,1,1,29,1,98,19,39,1,16,7,1,1,2,2,28,1,98,19,46,1,14,8,1,1,2,1
15,120,1,11,21,1,2017,2,1,1,20,1,98,15,120,1,11,5,1,1,2,2,19,1,11,15,120,1,11,6,2,3,9,1
11,1,1,8,15,2,2017,2,1,1,26,1,98,11,1,1,8,6,1,1,2,2,27,1,98,11,1,1,8,6,1,1,2,1
30,16,1,7,30,12,2017,1,1,1,32,1,98,30,126,42,4,6,1,1,2,2,30,1,11,30,16,6,1,6,2,3,9,1
17,6,1,13,10,2,2017,1,1,1,32,1,98,17,6,1,13,6,1,1,2,2,30,1,98,17,6,1,13,6,1,1,2,1
19,49,1,9,27,6,2017,1,1,1,56,1,99,19,39,1,16,9,9,9,9,2,57,1,99,19,39,1,16,9,9,9,9,1
14,39,1,16,6,1,2017,2,1,1,31,1,4,14,39,1,16,7,1,1,5,2,33,1,4,14,39,1,16,7,1,1,2,1
21,143,1,4,15,7,2017,1,1,1,31,1,4,21,122,3,3,5,1,1,4,2,25,1,11,9,15,1,15,5,2,3,9,1
9,5,1,16,6,9,2017,1,2,1,28,1,98,9,5,1,16,6,1,1,2,1,31,1,2,9,5,1,16,6,1,1,2,2
15,13,1,14,6,3,2017,2,1,1,25,1,98,15,13,1,14,6,1,1,2,2,25,1,98,15,13,1,14,6,1,1,2,1
32,56,1,13,16,12,2017,2,1,1,35,1,99,32,17,1,13,7,9,9,9,2,35,1,1,32,17,1,13,7,1,1,4,1
21,178,1,2,27,8,2017,1,1,1,24,1,7,21,178,18,1,5,1,1,3,2,24,1,11,21,178,7777,1,5,2,3,9,1
30,168,1,4,29,11,2017,1,1,1,26,1,6,30,168,9999,99,6,1,1,3,2,18,1,11,30,168,9999,99,5,2,3,9,1
28,32,1,15,7,11,2017,1,1,1,61,2,2,28,32,1,15,7,1,1,4,2,46,2,2,28,32,1,15,7,1,1,4,1
19,26,1,15,30,9,2017,1,1,1,27,1,98,19,39,1,16,7,1,1,2,2,26,1,98,19,39,1,16,7,1,1,2,1
11,9,1,8,28,6,2017,2,1,1,25,1,2,11,9,1,8,7,1,1,2,2,23,1,2,11,9,1,8,7,1,1,2,1
21,164,19,4,3,2,2017,1,1,1,20,1,98,21,164,19,4,6,1,1,2,2,24,1,2,21,164,1,8,7,1,1,2,1
25,18,355,4,10,8,2017,1,1,1,64,1,11,25,18,364,1,4,2,4,9,2,67,1,11,25,18,364,1,4,2,3,9,1
9,16,1,14,23,2,2017,1,1,1,37,1,5,9,16,1,14,7,1,1,2,2,24,1,11,9,16,1,14,6,2,3,9,1
