ENT_REGIS,MUN_REGIS,LOC_REGIS,TAM_LOC_RE,DIA_REGIS,MES_REGIS,ANIO_REGIS,REGIMEN_MA,GENERO,SEXO_CON1,EDAD_CON1,NACI_CON1,OCUP_CON1,ENTRH_CON1,MUNRH_CON1,LOCRH_CON1,TLORH_CON1,ESCOL_CON1,CONACTCON1,SITLABCON1,POSTRACON1,SEXO_CON2,EDAD_CON2,NACI_CON2,OCUP_CON2,ENTRH_CON2,MUNRH_CON2,LOCRH_CON2,TLORH_CON2,ESCOL_CON2,CONACTCON2,SITLABCON2,POSTRACON2,TIPO_CON
07,099,0001,5,28,2,2017,1,1,1,40,1,6,07,099,0490,3,4,1,1,3,2,32,1,11,07,099,0490,3,5,2,3,9,1
27,014,0001,8,19,12,2017,1,1,1,22,1,98,27,014,0009,3,5,1,1,2,2,25,1,98,27,014,0009,3,7,1,1,2,1
15,054,0034,8,8,12,2017,1,1,1,55,1,2,15,106,0001,14,7,1,1,2,2,48,1,11,15,106,0075,1,7,2,3,9,1
14,045,0001,5,13,1,2017,1,1,1,23,2,7,33,999,9999,99,6,1,1,3,2,20,1,11,14,045,7777,1,4,2,3,9,1
25,009,0060,4,27,6,2017,1,1,1,28,1,9,25,009,0023,2,4,1,1,2,2,26,1,11,25,009,0060,4,6,2,3,9,1
05,035,0001,15,18,5,2017,1,1,1,38,1,98,05,035,0001,15,5,1,1,1,2,41,1,11,05,035,0001,15,5,2,3,9,1
20,067,0001,14,6,7,2017,2,1,1,39,1,2,20,067,0001,14,5,1,1,4,2,39,1,2,20,067,0001,14,7,1,1,2,1
15,058,0001,16,3,11,2017,1,1,1,30,1,98,15,058,0001,16,6,1,1,2,2,27,1,98,15,058,0001,16,7,1,1,2,1
12,061,0001,8,22,9,2017,1,1,1,19,1,11,12,061,0001,8,7,2,2,9,2,19,1,11,12,061,0001,8,7,2,2,9,1
21,114,0001,16,15,9,2017,1,1,1,26,1,4,29,005,0001,10,6,1,1,4,2,22,1,11,21,114,0001,16,7,2,2,9,1
26,035,0001,5,23,1,2017,1,1,1,25,1,98,26,043,0001,13,7,1,1,2,2,27,1,98,26,043,0001,13,6,1,1,2,1
07,078,0001,13,28,6,2017,1,1,1,63,1,4,07,078,0001,13,1,1,1,4,2,42,1,11,07,078,0001,13,3,2,3,9,1
11,003,0001,11,13,10,2017,2,1,1,34,1,2,01,007,0001,8,7,1,1,4,2,32,1,2,19,046,0001,14,7,1,1,4,1
25,012,0001,14,16,5,2017,1,1,1,50,1,5,25,012,0001,14,5,1,1,2,2,37,1,11,25,012,0001,14,6,2,3,9,1
19,039,0001,16,17,6,2017,1,1,1,29,1,98,19,039,0001,16,7,1,1,2,2,28,1,98,19,046,0001,14,8,1,1,2,1
15,120,0001,11,21,1,2017,2,1,1,20,1,98,15,120,0001,11,5,1,1,2,2,19,1,11,15,120,0001,11,6,2,3,9,1
11,001,0001,8,15,2,2017,2,1,1,26,1,98,11,001,0001,8,6,1,1,2,2,27,1,98,11,001,0001,8,6,1,1,2,1
30,016,0001,7,30,12,2017,1,1,1,32,1,98,30,126,0042,4,6,1,1,2,2,30,1,11,30,016,0006,1,6,2,3,9,1
17,006,0001,13,10,2,2017,1,1,1,32,1,98,17,006,0001,13,6,1,1,2,2,30,1,98,17,006,0001,13,6,1,1,2,1
19,049,0001,9,27,6,2017,1,1,1,56,1,99,19,039,0001,16,9,9,9,9,2,57,1,99,19,039,0001,16,9,9,9,9,1
14,039,0001,16,6,1,2017,2,1,1,31,1,4,14,039,0001,16,7,1,1,5,2,33,1,4,14,039,0001,16,7,1,1,2,1
21,143,0001,4,15,7,2017,1,1,1,31,1,4,21,122,0003,3,5,1,1,4,2,25,1,11,09,015,0001,15,5,2,3,9,1
09,005,0001,16,6,9,2017,1,2,1,28,1,98,09,005,0001,16,6,1,1,2,1,31,1,2,09,005,0001,16,6,1,1,2,2
15,013,0001,14,6,3,2017,2,1,1,25,1,98,15,013,0001,14,6,1,1,2,2,25,1,98,15,013,0001,14,6,1,1,2,1
32,056,0001,13,16,12,2017,2,1,1,35,1,99,32,017,0001,13,7,9,9,9,2,35,1,1,32,017,0001,13,7,1,1,4,1
